ID,School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference,Tournament appearances,Final Four appearances,Championship wins
60,East Tennessee State University,East Tennessee State,Buccaneers,Johnson City,TN,Public,FCS,Southern Conference,10,0,0
61,Eastern Illinois University,Eastern Illinois,Panthers,Charleston,IL,Public,FCS,Ohio Valley Conference,2,0,0
62,Eastern Kentucky University,Eastern Kentucky,Colonels,Richmond,KY,Public,FCS,ASUN Conference,8,0,0
63,Eastern Michigan University,Eastern Michigan,Eagles,Ypsilanti,MI,Public,FBS,Mid-American Conference,4,0,0
64,Eastern Washington University,Eastern Washington,Eagles,Cheney,WA,Public,FCS,Big Sky Conference,3,0,0
65,Elon University,Elon,Phoenix,Elon,NC,Private,FCS,Coastal Athletic Association,0,0,0
66,Fairfield University,Fairfield,Stags,Fairfield,CT,Private,Non-football,Metro Atlantic Athletic Conference,6,0,0
67,Fairleigh Dickinson University,Fairleigh Dickinson,Knights,Hackensack,NJ,Private,Non-football,Northeast Conference,7,0,0
68,Florida Agricultural and Mechanical University,Florida A&M,Rattlers,Tallahassee,FL,Public,FCS,Southwestern Athletic Conference,3,0,0
69,Florida Atlantic University,Florida Atlantic,Owls,Boca Raton,FL,Public,FBS,American Athletic Conference,2,1,0
70,Florida Gulf Coast University,FGCU,Eagles,Fort Myers,FL,Public,Non-football,ASUN Conference,3,0,0
71,Florida International University,FIU,Panthers,Miami,FL,Public,FBS,Conference USA,1,0,0
72,Florida State University,Florida State,Seminoles,Tallahassee,FL,Public,FBS,Atlantic Coast Conference,18,1,0
73,Fordham University,Fordham,Rams,Bronx,NY,Private,FCS,Atlantic 10 Conference,4,0,0
74,Furman University,Furman,Paladins,Greenville,SC,Private,FCS,Southern Conference,7,0,0
75,Gardner–Webb University,Gardner–Webb,Runnin' Bulldogs,Boiling Springs,NC,Private,FCS,Big South Conference,1,0,0
76,George Mason University,George Mason,Patriots,Fairfax,VA,Public,Non-football,Atlantic 10 Conference,6,1,0
77,Georgetown University,Georgetown,Hoyas,Washington,DC,Private,FCS,Big East Conference,31,5,1
78,Georgia Institute of Technology,Georgia Tech,Yellow Jackets,Atlanta,GA,Public,FBS,Atlantic Coast Conference,17,2,0
79,Georgia Southern University,Georgia Southern,Eagles,Statesboro,GA,Public,FBS,Sun Belt Conference,3,0,0
80,Georgia State University,Georgia State,Panthers,Atlanta,GA,Public,FBS,Sun Belt Conference,6,0,0
81,Gonzaga University,Gonzaga,Bulldogs,Spokane,WA,Private,Non-football,West Coast Conference,25,2,0
82,Grambling State University,Grambling State,Tigers,Grambling,LA,Public,FCS,Southwestern Athletic Conference,0,0,0
83,Grand Canyon University,Grand Canyon,Antelopes,Phoenix,AZ,Private,Non-football,Western Athletic Conference,2,0,0
84,Hampton University,Hampton,Pirates,Hampton,VA,Private,FCS,Coastal Athletic Association,6,0,0
85,Harvard University,Harvard,Crimson,Cambridge,MA,Private,FCS,Ivy League,5,0,0
86,High Point University,High Point,Panthers,High Point,NC,Private,Non-football,Big South Conference,0,0,0
87,Hofstra University,Hofstra,Pride,Hempstead,NY,Private,Non-football,Coastal Athletic Association,4,0,0
88,Houston Christian University,Houston Christian,Huskies,Houston,TX,Private,FCS,Southland Conference,1,0,0
89,Howard University,Howard,Bison,Washington,DC,Private,FCS,Mid-Eastern Athletic Conference,3,0,0
90,Idaho State University,Idaho State,Bengals,Pocatello,ID,Public,FCS,Big Sky Conference,10,0,0
91,Illinois State University,Illinois State,Redbirds,Normal,IL,Public,FCS,Missouri Valley Conference,6,0,0
92,Indiana State University,Indiana State,Sycamores,Terre Haute,IN,Public,FCS,Missouri Valley Conference,4,1,0
93,Indiana University Bloomington,Indiana,Hoosiers,Bloomington,IN,Public,FBS,Big Ten Conference,49,8,5
94,Indiana University–Purdue University Indianapolis,IUPUI,Jaguars,Indianapolis,IN,Public,Non-football,Horizon League,1,0,0
95,Iona University,Iona,Gaels,New Rochelle,NY,Private,Non-football,Metro Atlantic Athletic Conference,16,0,0
96,Iowa State University of Science and Technology,Iowa State,Cyclones,Ames,IA,Public,FBS,Big 12 Conference,22,1,0
97,Jackson State University,Jackson State,Tigers,Jackson,MS,Public,FCS,Southwestern Athletic Conference,3,0,0
98,Jacksonville State University,Jacksonville State,Gamecocks,Jacksonville,AL,Public,FBS,Conference USA,2,0,0
99,Jacksonville University,Jacksonville,Dolphins,Jacksonville,FL,Private,Non-football,ASUN Conference,5,1,0
100,James Madison University,James Madison,Dukes,Harrisonburg,VA,Public,FBS,Sun Belt Conference,5,0,0
101,Kansas State University,Kansas State,Wildcats,Manhattan,KS,Public,FBS,Big 12 Conference,32,4,0
102,Kennesaw State University,Kennesaw State,Owls,Kennesaw,GA,Public,FCS,ASUN Conference,1,0,0
103,Kent State University,Kent State,Golden Flashes,Kent,OH,Public,FBS,Mid-American Conference,7,0,0
104,La Salle University,La Salle,Explorers,Philadelphia,PA,Private,Non-football,Atlantic 10 Conference,12,2,1
105,Lafayette College,Lafayette,Leopards,Easton,PA,Private,FCS,Patriot League,4,0,0
