ID,School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference,Tournament appearances,Final Four appearances,Championship wins
251,"University of California, Irvine",UC Irvine,Anteaters,Irvine,CA,Public,Non-football,Big West Conference,2,0,0
252,"University of California, Los Angeles",UCLA,Bruins,Los Angeles,CA,Public,FBS,Pac-12 Conference,51,19,11
253,"University of California, Riverside",UC Riverside,Highlanders,Riverside,CA,Public,Non-football,Big West Conference,0,0,0
254,"University of California, San Diego",UCSD,Tritons,San Diego,CA,Public,Non-football,Big West,0,0,0
255,"University of California, Santa Barbara",UC Santa Barbara,Gauchos,Santa Barbara,CA,Public,Non-football,Big West Conference,7,0,0
256,University of Central Arkansas,Central Arkansas,Bears,Conway,AR,Public,FCS,ASUN Conference,0,0,0
257,University of Central Florida,UCF,Knights,Orlando,FL,Public,FBS,Big 12 Conference,5,0,0
258,University of Cincinnati,Cincinnati,Bearcats,Cincinnati,OH,Public,FBS,Big 12 Conference,33,6,2
259,University of Colorado Boulder,Colorado,Buffaloes,Boulder,CO,Public,FBS,Pac-12 Conference,15,2,0
260,University of Connecticut,UConn,Huskies,Storrs,CT,Public,FBS,Big East Conference,36,6,5
261,University of Dayton,Dayton,Flyers,Dayton,OH,Private,FCS,Atlantic 10 Conference,19,1,0
262,University of Delaware,Delaware,Fightin' Blue Hens,Newark,DE,Public,FCS,Coastal Athletic Association,6,0,0
263,University of Denver,Denver,Pioneers,Denver,CO,Private,Non-football,Summit League,0,0,0
264,University of Detroit Mercy,Detroit Mercy,Titans,Detroit,MI,Private,Non-football,Horizon League,6,0,0
265,University of Evansville,Evansville,Purple Aces,Evansville,IN,Private,Non-football,Missouri Valley Conference,5,0,0
266,University of Florida,Florida,Gators,Gainesville,FL,Public,FBS,Southeastern Conference,23,5,2
267,University of Georgia,Georgia,Bulldogs,Athens,GA,Public,FBS,Southeastern Conference,12,1,0
268,University of Hawaiʻi at Mānoa,Hawaiʻi,Rainbow Warriors,Honolulu,HI,Public,FBS,Big West Conference,5,0,0
269,University of Houston,Houston,Cougars,Houston,TX,Public,FBS,Big 12 Conference,23,6,0
270,University of Idaho,Idaho,Vandals,Moscow,ID,Public,FCS,Big Sky Conference,4,0,0
271,University of Illinois Chicago,UIC,Flames,Chicago,IL,Public,Non-football,Missouri Valley Conference,3,0,0
272,University of Illinois Urbana-Champaign,Illinois,Fighting Illini,Urbana,IL,Public,FBS,Big Ten Conference,33,5,0
273,University of Kansas,Kansas,Jayhawks,Lawrence,KS,Public,FBS,Big 12 Conference,51,16,4
274,University of Kentucky,Kentucky,Wildcats,Lexington,KY,Public,FBS,Southeastern Conference,60,17,8
275,University of Louisiana at Lafayette,Louisiana,Ragin' Cajuns,Lafayette,LA,Public,FBS,Sun Belt Conference,7,0,0
276,University of Louisiana at Monroe,ULM,Warhawks,Monroe,LA,Public,FBS,Sun Belt Conference,7,0,0
277,University of Louisville,Louisville,Cardinals,Louisville,KY,Public,FBS,Atlantic Coast Conference,43,10,3
278,University of Maine,Maine,Black Bears,Orono,ME,Public,FCS,America East Conference,0,0,0
279,University of Maryland Eastern Shore,Maryland Eastern Shore,Hawks,Princess Anne,MD,Public,Non-football,Mid-Eastern Athletic Conference,0,0,0
280,"University of Maryland, Baltimore County",UMBC,Retrievers,Catonsville,MD,Public,Non-football,America East Conference,2,0,0
281,"University of Maryland, College Park",Maryland,Terrapins,College Park,MD,Public,FBS,Big Ten Conference,30,2,1
282,University of Massachusetts Amherst,UMass,Minutemen,Amherst,MA,Public,FBS,Atlantic 10 Conference,9,1,0
283,University of Massachusetts Lowell,UMass Lowell,River Hawks,Lowell,MA,Public,Non-football,America East Conference,0,0,0
284,University of Memphis,Memphis,Tigers,Memphis,TN,Public,FBS,American Athletic Conference,28,3,0
285,University of Miami,Miami (Florida),Hurricanes,Coral Gables,FL,Private,FBS,Atlantic Coast Conference,12,1,0
286,University of Michigan,Michigan,Wolverines,Ann Arbor,MI,Public,FBS,Big Ten Conference,31,8,1
287,University of Minnesota,Minnesota,Golden Gophers,Minneapolis,MN,Public,FBS,Big Ten Conference,14,1,0
288,University of Missouri–Columbia,Missouri,Tigers,Columbia,MO,Public,FBS,Southeastern Conference,29,0,0
289,University of Missouri–Kansas City,Kansas City,Roos,Kansas City,MO,Public,Non-football,Summit League,0,0,0
290,University of Montana,Montana,Grizzlies,Missoula,MT,Public,FCS,Big Sky Conference,12,0,0
291,University of Nebraska Omaha,Omaha,Mavericks,Omaha,NE,Public,Non-football,Summit League,0,0,0
292,University of Nebraska–Lincoln,Nebraska,Cornhuskers,Lincoln,NE,Public,FBS,Big Ten Conference,7,0,0
293,"University of Nevada, Las Vegas",UNLV,Runnin' Rebels,Paradise,NV,Public,FBS,Mountain West Conference,20,4,1
294,"University of Nevada, Reno",Nevada,Wolf Pack,Reno,NV,Public,FBS,Mountain West Conference,10,0,0
295,University of New Hampshire,New Hampshire,Wildcats,Durham,NH,Public,FCS,America East Conference,0,0,0
296,University of New Orleans,New Orleans,Privateers,New Orleans,LA,Public,Non-football,Southland Conference,5,0,0
297,University of North Alabama,North Alabama,Lions,Florence,AL,Public,FCS,ASUN Conference,0,0,0
298,University of North Carolina at Asheville,UNC Asheville,Bulldogs,Asheville,NC,Public,Non-football,Big South Conference,5,0,0
299,University of North Carolina at Chapel Hill,North Carolina,Tar Heels,Chapel Hill,NC,Public,FBS,Atlantic Coast Conference,52,21,6
300,University of North Carolina at Charlotte,Charlotte,49ers,Charlotte,NC,Public,FBS,American Athletic Conference,11,1,0
301,University of North Carolina at Greensboro,UNC Greensboro,Spartans,Greensboro,NC,Public,Non-football,Southern Conference,4,0,0
302,University of North Carolina at Wilmington,UNC Wilmington,Seahawks,Wilmington,NC,Public,Non-football,Coastal Athletic Association,6,0,0
303,University of North Dakota,North Dakota,Fighting Hawks,Grand Forks,ND,Public,FCS,Summit League,1,0,0
304,University of North Florida,North Florida,Ospreys,Jacksonville,FL,Public,Non-football,ASUN Conference,1,0,0
305,University of North Texas,North Texas,Mean Green,Denton,TX,Public,FBS,American Athletic Conference,4,0,0
306,University of Northern Colorado,Northern Colorado,Bears,Greeley,CO,Public,FCS,Big Sky Conference,1,0,0
307,University of Northern Iowa,Northern Iowa,Panthers,Cedar Falls,IA,Public,FCS,Missouri Valley Conference,8,0,0
308,University of Notre Dame du Lac,Notre Dame,Fighting Irish,Notre Dame,IN,Private,FBS,Atlantic Coast Conference,38,1,0
309,University of Oklahoma,Oklahoma,Sooners,Norman,OK,Public,FBS,Big 12 Conference,34,5,0
310,University of Oregon,Oregon,Ducks,Eugene,OR,Public,FBS,Pac-12 Conference,17,2,1
311,University of Pennsylvania,Penn,Quakers,Philadelphia,PA,Private,FCS,Ivy League,24,1,0
312,University of Pittsburgh,Pittsburgh,Panthers,Pittsburgh,PA,Public,FBS,Atlantic Coast Conference,27,1,0
313,University of Portland,Portland,Pilots,Portland,OR,Private,Non-football,West Coast Conference,2,0,0
314,University of Rhode Island,Rhode Island,Rams,Kingston,RI,Public,FCS,Atlantic 10 Conference,10,0,0
315,University of Richmond,Richmond,Spiders,Richmond,VA,Private,FCS,Atlantic 10 Conference,10,0,0
316,University of San Diego,San Diego,Toreros,San Diego,CA,Private,FCS,West Coast Conference,4,0,0
317,University of San Francisco,San Francisco,Dons,San Francisco,CA,Private,Non-football,West Coast Conference,16,3,2
318,University of South Alabama,South Alabama,Jaguars,Mobile,AL,Public,FBS,Sun Belt Conference,8,0,0
319,University of South Carolina,South Carolina,Gamecocks,Columbia,SC,Public,FBS,Southeastern Conference,9,1,0
320,University of South Carolina Upstate,USC Upstate,Spartans,Spartanburg,SC,Public,Non-football,Big South Conference,0,0,0
321,University of South Dakota,South Dakota,Coyotes,Vermillion,SD,Public,FCS,Summit League,0,0,0
322,University of South Florida,South Florida,Bulls,Tampa,FL,Public,FBS,American Athletic Conference,3,0,0
323,University of Southern California,USC,Trojans,Los Angeles,CA,Private,FBS,Pac-12 Conference,21,2,0
324,University of Southern Indiana,Southern Indiana,Screaming Eagles,Evansville,IN,Public,Non-football,Ohio Valley Conference,0,0,0
325,University of Southern Mississippi,Southern Miss,Golden Eagles,Hattiesburg,MS,Public,FBS,Sun Belt Conference,3,0,0
326,University of St. Thomas,Saint Thomas,Tommies,St. Paul,MN,Private,FCS,Summit League,0,0,0
327,University of Toledo,Toledo,Rockets,Toledo,OH,Public,FBS,Mid-American Conference,4,0,0
328,University of Utah,Utah,Utes,Salt Lake City,UT,Public,FBS,Pac-12 Conference,30,4,1
329,University of Virginia,Virginia,Cavaliers,Charlottesville,VA,Public,FBS,Atlantic Coast Conference,26,3,1
330,University of Washington,Washington,Huskies,Seattle,WA,Public,FBS,Pac-12 Conference,17,1,0
331,University of Wisconsin–Green Bay,Green Bay,Phoenix,Green Bay,WI,Public,Non-football,Horizon League,5,0,0
332,University of Wisconsin–Madison,Wisconsin,Badgers,Madison,WI,Public,FBS,Big Ten Conference,26,4,1
333,University of Wisconsin–Milwaukee,Milwaukee,Panthers,Milwaukee,WI,Public,Non-football,Horizon League,4,0,0
334,University of Wyoming,Wyoming,Cowboys,Laramie,WY,Public,FBS,Mountain West Conference,16,1,1
335,University of the Incarnate Word,Incarnate Word,Cardinals,San Antonio,TX,Private,FCS,Southland Conference,0,0,0
336,University of the Pacific,Pacific,Tigers,Stockton,CA,Private,Non-football,West Coast Conference,9,0,0
337,Utah State University,Utah State,Aggies,Logan,UT,Public,FBS,Mountain West Conference,23,0,0
338,Utah Tech University,Utah Tech,Trailblazers,St. George,UT,Public,FCS,Western Athletic Conference,0,0,0
339,Utah Valley University,Utah Valley,Wolverines,Orem,UT,Public,Non-football,Western Athletic Conference,0,0,0
340,Valparaiso University,Valparaiso,Beacons,Valparaiso,IN,Private,FCS,Missouri Valley Conference,9,0,0
341,Vanderbilt University,Vanderbilt,Commodores,Nashville,TN,Private,FBS,Southeastern Conference,15,0,0
342,Villanova University,Villanova,Wildcats,Villanova,PA,Private,FCS,Big East Conference,43,7,3
343,Virginia Commonwealth University,VCU,Rams,Richmond,VA,Public,Non-football,Atlantic 10 Conference,20,1,0
344,Virginia Military Institute,VMI,Keydets,Lexington,VA,Public,FCS,Southern Conference,3,0,0
345,Virginia Polytechnic Institute and State University,Virginia Tech,Hokies,Blacksburg,VA,Public,FBS,Atlantic Coast Conference,13,0,0
346,Wagner College,Wagner,Seahawks,Staten Island,NY,Private,FCS,Northeast Conference,1,0,0
347,Wake Forest University,Wake Forest,Demon Deacons,Winston-Salem,NC,Private,FBS,Atlantic Coast Conference,24,1,0
348,Washington State University,Washington State,Cougars,Pullman,WA,Public,FBS,Pac-12 Conference,6,1,0
349,Weber State University,Weber State,Wildcats,Ogden,UT,Public,FCS,Big Sky Conference,15,0,0
350,West Virginia University,West Virginia,Mountaineers,Morgantown,WV,Public,FBS,Big 12 Conference,31,2,0
351,Western Carolina University,Western Carolina,Catamounts,Cullowhee,NC,Public,FCS,Southern Conference,1,0,0
352,Western Illinois University,Western Illinois,Leathernecks,Macomb,IL,Public,FCS,Ohio Valley Conference,0,0,0
353,Western Kentucky University,Western Kentucky,Hilltoppers,Bowling Green,KY,Public,FBS,Conference USA,23,1,0
354,Western Michigan University,Western Michigan,Broncos,Kalamazoo,MI,Public,FBS,Mid-American Conference,4,0,0
355,Wichita State University,Wichita State,Shockers,Wichita,KS,Public,Non-football,American Athletic Conference,16,2,0
356,William Marsh Rice University,Rice,Owls,Houston,TX,Private,FBS,American Athletic Conference,4,0,0
357,Winthrop University,Winthrop,Eagles,Rock Hill,SC,Public,Non-football,Big South Conference,11,0,0
358,Wofford College,Wofford,Terriers,Spartanburg,SC,Private,FCS,Southern Conference,5,0,0
359,Wright State University,Wright State,Raiders,Dayton,OH,Public,Non-football,Horizon League,4,0,0
360,Xavier University,Xavier,Musketeers,Cincinnati,OH,Private,Non-football,Big East Conference,29,0,0
361,Yale University,Yale,Bulldogs,New Haven,CT,Private,FCS,Ivy League,6,0,0
362,Youngstown State University,Youngstown State,Penguins,Youngstown,OH,Public,FCS,Horizon League,0,0,0
