DATE,TEAM,OPP.,VENUE,RESULT
20211109,Rhode Island,Boston University,H,9
20211109,Dayton,Illinois Chicago,H,10
20211109,Northern Arizona,Arizona,A,-29
20211109,Illinois,Jackson St.,H,24
20211109,Xavier,Niagara,H,3
20211109,UNC Wilmington,Illinois St.,A,-5
20211109,Tennessee Martin,Tennessee,A,-28
20211109,Cincinnati,Evansville,H,22
20211109,Michigan St.,Kansas,N,-13
20211109,Niagara,Xavier,A,-3
20211109,Louisville,Southern,H,12
20211109,Belmont,Ohio,A,-12
20211109,Monmouth,Charlotte,A,-2
20211109,North Carolina A&T,UNC Greensboro,A,-4
20211109,North Carolina,Loyola MD,H,16
20211109,Boise St.,Utah Valley,H,20
20211109,Wisconsin,St. Francis NY,H,23
20211109,Butler,IUPUI,H,9
20211109,Navy,Virginia,A,8
20211109,Canisius,Miami FL,A,-10
20211109,Siena,St. Bonaventure,A,-28
20211109,UMBC,Massachusetts,A,-17
20211109,Tennessee St.,Alabama A&M,A,-9
20211109,Green Bay,Indiana St.,H,-4
20211109,Saint Peter's,VCU,A,-3
20211109,Pittsburgh,The Citadel,H,-15
20211109,UAB,UNC Asheville,H,25
20211109,Ohio St.,Akron,H,1
20211109,North Carolina Centr,Richmond,A,-10
20211109,Creighton,Arkansas Pine Bluff,H,13
20211109,Utah St.,UC Davis,H,-3
20211109,Minnesota,UMKC,H,15
20211109,Richmond,North Carolina Centr,H,10
20211109,Villanova,Mount St. Mary's,H,40
20211109,Illinois Chicago,Dayton,A,-10
20211109,Syracuse,Lafayette,H,34
20211109,George Mason,Stony Brook,H,22
20211109,South Carolina St.,East Carolina,A,-8
20211109,Fairfield,Providence,A,-7
20211109,Marquette,SIU Edwardsville,H,11
20211109,Charlotte,Monmouth,H,2
20211109,Northeastern,Colgate,A,-7
20211109,Marist,American,A,-4
20211109,Maryland Eastern Sho,Saint Joseph's,A,-2
20211109,Rider,Duquesne,A,-12
20211109,Southeast Missouri S,Missouri St.,A,5
20211109,Iona,Appalachian St.,H,12
20211109,Milwaukee,North Dakota,A,15
20211109,Delaware,Davidson,A,-22
20211109,Akron,Ohio St.,A,-1
20211109,Colorado St.,Oral Roberts,H,29
20211109,Towson,Albany,A,21
20211109,Kennesaw St.,Iowa St.,A,-11
20211109,Morehead St.,Auburn,A,-23
20211109,Albany,Towson,H,-21
20211109,Nevada,Eastern Washington,H,15
20211109,Bellarmine,Purdue,A,-29
20211109,Nebraska,Western Illinois,H,-1
20211109,USC Upstate,South Carolina,A,-18
