DATE,TEAM,OPP.,VENUE,RESULT
20111107,St. John's,William & Mary,H,15
20111107,Eastern Kentucky,Mississippi St.,A,-10
20111107,William & Mary,St. John's,A,-15
20111107,Mississippi St.,Eastern Kentucky,H,10
20111107,Valparaiso,Arizona,A,-9
20111107,Arizona,Valparaiso,H,9
20111109,Mississippi St.,Akron,H,-10
20111109,Lehigh,St. John's,A,-5
20111109,Duquesne,Arizona,A,-8
20111109,Liberty,Texas A&M,A,-22
20111109,Texas A&M,Liberty,H,22
20111109,Akron,Mississippi St.,A,10
20111109,St. John's,Lehigh,H,5
20111109,Arizona,Duquesne,H,8
20111111,Marist,Kentucky,A,-50
20111111,VMI,The Citadel,N,3
20111111,Radford,Delaware,H,4
20111111,Illinois Chicago,Eastern Michigan,A,-11
20111111,North Carolina St.,UNC Asheville,H,9
20111111,Navy,Longwood,A,8
20111111,Rider,Robert Morris,A,-26
20111111,VCU,St. Francis PA,H,6
20111111,Villanova,Monmouth,H,36
20111111,Eastern Illinois,Indiana St.,A,-7
20111111,North Carolina,Michigan St.,N,12
20111111,Northeastern,Boston University,A,8
20111111,Tennessee Martin,Louisville,A,-35
20111111,Holy Cross,College of Charlesto,A,-9
20111111,TCU,Florida Gulf Coast,H,1
20111111,Austin Peay,Middle Tennessee,A,-9
20111111,Wright St.,Ohio St.,A,-31
20111111,Georgia Tech,Florida A&M,H,33
20111111,Ohio St.,Wright St.,H,31
20111111,UTEP,UTSA,H,-9
20111111,Army,Air Force,A,-16
20111111,Saint Joseph's,Western Kentucky,A,11
20111111,Tulsa,Little Rock,H,16
20111111,Loyola MD,Wake Forest,A,-12
20111111,San Diego St.,Bryant,H,12
20111111,West Virginia,Oral Roberts,H,7
20111111,North Carolina Centr,Charlotte,A,-16
20111111,Miami FL,Tennessee Tech,H,11
20111111,Nebraska,South Dakota,H,17
20111111,Lafayette,La Salle,A,-26
20111111,Morgan St.,Xavier,A,-11
20111111,Florida A&M,Georgia Tech,A,-33
20111111,Marquette,Mount St. Mary's,H,54
20111111,Montana,Colorado St.,A,-6
20111111,George Washington,Maryland Eastern Sho,H,16
20111111,Saint Peter's,Buffalo,A,-7
