DATE,TEAM,OPP.,VENUE,RESULT
20151113,Rhode Island,American,H,23
20151113,St. John's,Wagner,H,9
20151113,Fairfield,Yale,A,-13
20151113,Clemson,North Carolina Centr,H,34
20151113,VCU,Prairie View A&M,H,25
20151113,College of Charlesto,South Carolina St.,H,20
20151113,Hofstra,Canisius,H,11
20151113,Ball St.,Bradley,A,-1
20151113,Delaware,Delaware St.,A,6
20151113,Maine,Connecticut,A,-44
20151113,Iowa,Gardner Webb,H,17
20151113,Northern Kentucky,West Virginia,A,-46
20151113,Northeastern,Boston University,A,3
20151113,Gardner Webb,Iowa,A,-17
20151113,Holy Cross,Marist,A,3
20151113,North Carolina A&T,Purdue,A,-41
20151113,South Carolina St.,College of Charlesto,A,-20
20151113,Quinnipiac,Sacred Heart,A,-12
20151113,San Diego St.,Illinois St.,H,11
20151113,Tennessee St.,Loyola MD,A,15
20151113,Charleston Southern,Wichita St.,A,-25
20151113,Tennessee Martin,Oklahoma St.,A,-34
20151113,UMass Lowell,Northwestern,A,-22
20151113,Fresno St.,Pepperdine,H,3
20151113,Oklahoma St.,Tennessee Martin,H,34
20151113,William & Mary,North Carolina St.,A,17
20151113,Illinois Chicago,San Francisco,H,-3
20151113,Air Force,Southern Illinois,A,-2
20151113,North Carolina,Temple,N,24
20151113,Louisville,Samford,H,41
20151113,Coastal Carolina,Nevada,A,-17
20151113,Kennesaw St.,Alabama,A,-13
20151113,Drexel,Saint Joseph's,A,-1
20151113,Monmouth,UCLA,A,3
20151113,Seton Hall,Dartmouth,H,17
20151113,Virginia,Morgan St.,H,38
20151113,East Carolina,Grambling St.,H,8
20151113,Richmond,James Madison,H,-12
20151113,Kansas,Northern Colorado,H,37
20151113,Syracuse,Lehigh,H,10
20151113,Maryland,Mount St. Mary's,H,24
20151113,Elon,Charlotte,A,11
20151113,North Carolina St.,William & Mary,H,-17
20151113,Niagara,Old Dominion,A,-17
20151113,USC Upstate,Texas A&M,A,-40
20151113,Princeton,Rider,A,8
20151113,Milwaukee,Denver,H,13
20151113,Villanova,Fairleigh Dickinson,H,37
20151113,Weber St.,Utah St.,H,-3
20151113,Maryland Eastern Sho,Kansas St.,A,-27
20151113,Jacksonville St.,Central Michigan,A,-6
20151113,Siena,Duke,A,-18
20151113,Nevada,Coastal Carolina,H,17
20151113,Miami OH,Xavier,A,-9
20151113,Hartford,Central Connecticut,A,9
20151113,UMBC,Wake Forest,A,-5
20151113,SIU Edwardsville,Arkansas St.,H,9
20151113,Alabama A&M,Tulane,A,1
20151113,Southern,Arkansas,A,-18
20151113,Prairie View A&M,VCU,A,-25
20151113,Jackson St.,Oregon,A,-28
20151113,Grambling St.,East Carolina,A,-8
20151113,Indiana,Eastern Illinois,H,39
20151113,Green Bay,Stanford,A,-4
20151113,IUPUI,Indiana St.,A,2
20151113,Samford,Louisville,A,-41
20151113,Lehigh,Syracuse,A,-10
20151113,Denver,Milwaukee,A,-13
20151113,Fort Wayne,Valparaiso,N,-14
20151113,Oral Roberts,Missouri St.,H,15
20151113,Dayton,Southeast Missouri S,H,31
20151113,South Dakota,Wright St.,N,-8
20151113,Nebraska Omaha,UC Santa Barbara,H,-1
20151113,Western Illinois,Wisconsin,A,2
20151113,Boston University,Northeastern,H,-3
20151113,North Dakota St.,UC Davis,A,8
20151113,BYU,Utah Valley,H,31
20151113,San Francisco,Illinois Chicago,A,3
20151113,San Diego,USC,A,-38
20151113,Pepperdine,Fresno St.,A,-3
20151113,Pacific,Arizona,A,-18
20151113,Santa Clara,Lipscomb,H,-2
20151113,Loyola Marymount,Cal St. Fullerton,H,5
20151113,Texas Southern,New Mexico,A,-29
20151113,Wright St.,South Dakota,N,8
20151113,Arkansas Pine Bluff,Seattle,A,2
20151113,High Point,Texas Tech,A,-4
20151113,Eastern Kentucky,Coppin St.,H,27
20151113,Purdue,North Carolina A&T,H,41
20151113,American,Rhode Island,A,-23
20151113,Colgate,George Mason,A,13
20151113,Austin Peay,Vanderbilt,A,-39
20151113,Baylor,Stephen F. Austin,H,42
20151113,North Carolina Centr,Clemson,A,-34
20151113,UC Davis,North Dakota St.,H,-8
20151113,New Mexico,Texas Southern,H,29
20151113,Navy,Florida,H,-18
20151113,Boise St.,Montana,A,-2
20151113,Loyola MD,Tennessee St.,H,-15
20151113,Illinois,North Florida,H,-12
20151113,James Madison,Richmond,A,12
20151113,Wofford,Missouri,A,-9
20151113,Wisconsin,Western Illinois,H,-2
20151113,Southeast Missouri S,Dayton,A,-31
20151113,Utah St.,Weber St.,A,3
20151113,Rider,Princeton,H,-8
20151113,Chattanooga,Georgia,A,2
20151113,UNLV,Cal Poly,H,2
20151113,Western Carolina,Cincinnati,A,-25
20151113,Belmont,Marquette,A,3
20151113,Furman,Presbyterian,H,10
20151113,Lafayette,George Washington,A,-9
20151113,Eastern Illinois,Indiana,A,-39
20151113,Presbyterian,Furman,A,-10
20151113,Canisius,Hofstra,A,-11
20151113,Saint Peter's,Brown,H,12
20151113,Dartmouth,Seton Hall,A,-17
20151113,Montana,Boise St.,H,2
20151113,West Virginia,Northern Kentucky,H,46
20151113,Southern Illinois,Air Force,H,2
20151113,George Washington,Lafayette,H,9
20151113,Temple,North Carolina,N,-24
20151113,Minnesota,UMKC,H,18
20151113,Delaware St.,Delaware,H,-6
20151113,Northern Illinois,Cal St. Northridge,H,12
20151113,Stanford,Green Bay,H,4
20151113,Cal Poly,UNLV,A,-2
20151113,Connecticut,Maine,H,44
20151113,Old Dominion,Niagara,H,17
20151113,UNC Asheville,Tennessee,A,-4
20151113,Northwestern,UMass Lowell,H,22
20151113,Rice,California,A,-32
20151113,Loyola Chicago,UTSA,H,12
20151113,Saint Joseph's,Drexel,H,1
20151113,Notre Dame,St. Francis PA,H,31
20151113,Coppin St.,Eastern Kentucky,A,-27
20151113,TCU,Southeastern Louisia,H,13
20151113,Northern Arizona,Washington St.,A,-12
20151113,Sacramento St.,Arizona St.,A,3
20151113,Washington,Texas,N,6
20151113,Utah,Southern Utah,H,11
20151113,Brown,Saint Peter's,A,-12
20151113,USC,San Diego,H,38
20151113,Marquette,Belmont,H,-3
20151113,Iowa St.,Colorado,N,6
20151113,Lipscomb,Santa Clara,A,2
20151113,Northern Colorado,Kansas,A,-37
20151113,George Mason,Colgate,H,-13
20151113,Penn,Robert Morris,H,1
20151113,Robert Morris,Penn,A,-1
20151113,UTSA,Loyola Chicago,A,-12
20151113,Cal St. Northridge,Northern Illinois,A,-12
20151113,Cornell,Georgia Tech,A,-35
20151113,Marist,Holy Cross,H,-3
20151113,UC Santa Barbara,Nebraska Omaha,A,1
20151113,Florida Atlantic,Michigan St.,A,-27
20151113,Duke,Siena,H,18
20151113,Eastern Michigan,Vermont,H,20
20151113,Fairleigh Dickinson,Villanova,A,-37
20151113,Wagner,St. John's,A,-9
20151113,Tulane,Alabama A&M,H,-1
20151113,Southern Utah,Utah,A,-11
20151113,Albany,Kentucky,A,-13
20151113,Central Connecticut,Hartford,H,-9
20151113,Illinois St.,San Diego St.,A,-11
20151113,UCLA,Monmouth,H,-3
20151113,St. Bonaventure,Binghamton,H,10
20151113,Texas,Washington,N,-6
20151113,Yale,Fairfield,H,13
20151113,North Florida,Illinois,A,12
20151113,Eastern Washington,Mississippi St.,A,-18
20151113,Mississippi,Northwestern St.,H,14
20151113,Wichita St.,Charleston Southern,H,25
20151113,Washington St.,Northern Arizona,H,12
20151113,Sacred Heart,Quinnipiac,H,12
20151113,Vanderbilt,Austin Peay,H,39
20151113,Xavier,Miami OH,H,9
20151113,Bradley,Ball St.,H,1
20151113,Oregon,Jackson St.,H,28
20151113,Michigan St.,Florida Atlantic,H,27
20151113,Georgia Tech,Cornell,H,35
20151113,Cincinnati,Western Carolina,H,25
20151113,Auburn,UAB,H,1
20151113,Charlotte,Elon,H,-11
20151113,Portland St.,Grand Canyon,A,-10
20151113,Kentucky,Albany,H,13
20151113,Houston Christian,New Mexico St.,A,-22
20151113,Morgan St.,Virginia,A,-38
20151113,Cal St. Fullerton,Loyola Marymount,A,-5
20151113,UAB,Auburn,A,-1
20151113,Kansas St.,Maryland Eastern Sho,H,27
20151113,St. Francis PA,Notre Dame,A,-31
20151113,Vermont,Eastern Michigan,A,-20
20151113,Central Michigan,Jacksonville St.,H,6
20151113,Missouri,Wofford,H,9
20151113,Arkansas St.,SIU Edwardsville,A,-9
20151113,Arizona St.,Sacramento St.,H,-3
20151113,LSU,McNeese St.,H,11
20151113,Valparaiso,IPFW,N,14
20151113,Colorado,Iowa St.,N,-6
20151113,Wake Forest,UMBC,H,5
20151113,Tennessee,UNC Asheville,H,4
20151113,Alabama,Kennesaw St.,H,13
20151113,Miami FL,UT Rio Grande Valley,H,27
20151113,Arkansas,Southern,H,18
20151113,Texas Tech,High Point,H,4
20151113,Binghamton,St. Bonaventure,A,-10
20151113,California,Rice,H,32
20151113,Mississippi St.,Eastern Washington,H,18
20151113,Florida,Navy,A,18
20151113,South Florida,Troy,H,-5
20151113,Texas A&M,USC Upstate,H,40
20151113,Stephen F. Austin,Baylor,A,-42
20151113,Arizona,Pacific,H,18
20151113,Mount St. Mary's,Maryland,A,-24
20151113,Northwestern St.,Mississippi,A,-14
20151113,Missouri St.,Oral Roberts,A,-15
20151113,Indiana St.,IUPUI,H,-2
20151113,Southeastern Louisia,TCU,A,-13
20151113,Seattle,Arkansas Pine Bluff,H,-2
20151113,Grand Canyon,Portland St.,H,10
20151113,UMKC,Minnesota,A,-18
20151113,New Mexico St.,Houston Christian,H,22
20151113,Utah Valley,BYU,A,-31
20151113,McNeese St.,LSU,A,-11
20151113,Georgia,Chattanooga,H,-2
20151113,UT Rio Grande Valley,Miami FL,A,-27
20151113,Troy,South Florida,A,5
20151114,Mississippi Valley S,Nebraska,A,-46
20151114,South Carolina,Norfolk St.,H,15
20151114,The Citadel,Butler,A,-73
20151114,Idaho,San Jose St.,A,20
20151114,VMI,Penn St.,A,-12
20151114,Davidson,UCF,H,5
20151114,Memphis,Southern Miss,H,18
20151114,Colorado St.,Northern Iowa,A,6
20151114,Towson,La Salle,A,-2
20151114,Wright St.,Cal St. Northridge,N,-5
20151114,Cal St. Northridge,Wright St.,N,5
20151114,UT Arlington,Fordham,H,5
20151114,Alabama St.,Virginia Tech,A,3
20151114,Tulsa,Central Arkansas,H,17
20151114,Bryant,Duke,A,-38
