DATE,TEAM,OPP.,VENUE,RESULT
20221107,Massachusetts,Central Connecticut,H,27
20221107,Manhattan,VCU,A,-17
20221107,IUPUI,Iowa St.,A,-49
20221107,North Carolina St.,Austin Peay,H,49
20221107,Nevada,Utah Tech,H,13
20221107,Vermont,Brown,H,15
20221107,College of Charlesto,Chattanooga,H,7
20221107,Syracuse,Lehigh,H,18
20221107,Tennessee Tech,Tennessee,A,-32
20221107,Wake Forest,Fairfield,H,12
20221107,Niagara,Maryland,A,-22
20221107,Gardner Webb,Colorado St.,A,-2
20221107,Northern Kentucky,Kent St.,H,-22
20221107,Oklahoma St.,UT Arlington,H,11
20221107,Utah St.,Utah Valley,H,17
20221107,Minnesota,Western Michigan,H,1
20221107,Connecticut,Stonehill,H,31
20221107,Cornell,Boston College,A,-2
20221107,Louisiana Monroe,Texas A&M,A,-33
20221107,VCU,Manhattan,H,17
20221107,Air Force,Bowling Green,A,-4
20221107,Villanova,La Salle,H,13
20221107,UC Davis,California,A,10
20221107,Colorado St.,Gardner Webb,H,2
20221107,Saint Peter's,NJIT,H,14
20221107,Southern,UNLV,A,-10
20221107,New Mexico,Southern Utah,H,8
20221107,Northwestern,Chicago St.,H,31
20221107,Quinnipiac,Rhode Island,A,5
20221107,Maryland Eastern Sho,Old Dominion,A,-19
20221107,UAB,Alabama St.,H,41
20221107,Indiana,Morehead St.,H,35
20221107,Rutgers,Columbia,H,40
20221107,Southeast Missouri S,South Florida,A,3
20221107,Stony Brook,Florida,A,-36
20221107,Canisius,Youngstown St.,H,-11
20221107,Stetson,Florida St.,A,9
20221107,Memphis,Vanderbilt,A,9
20221107,Saint Louis,Murray St.,H,23
20221107,Loyola Chicago,Fairleigh Dickinson,H,6
20221107,Radford,Marquette,A,-10
20221107,Boston College,Cornell,H,2
20221107,Iona,Penn,H,28
20221107,Coppin St.,Charlotte,A,-23
20221107,Siena,Holy Cross,A,7
20221107,Southern Indiana,Missouri,A,-6
20221107,Fairfield,Wake Forest,A,-12
20221107,William & Mary,Navy,H,-15
20221107,DePaul,Loyola MD,H,6
20221107,NJIT,Saint Peter's,A,-14
20221107,Penn St.,Winthrop,H,25
20221107,West Virginia,Mount St. Mary's,H,17
20221107,Lindenwood,Dayton,A,-27
20221107,Morehead St.,Indiana,A,-35
20221107,Hofstra,Princeton,A,6
20221107,Ohio St.,Robert Morris,H,38
20221107,Michigan,Fort Wayne,H,19
20221107,Longwood,Alabama,A,-21
20221107,Towson,Albany,H,5
20221107,Mount St. Mary's,West Virginia,A,-17
20221107,Illinois,Eastern Illinois,H,30
20221107,North Florida,Gonzaga,A,-41
20221107,San Diego St.,Cal St. Fullerton,H,23
20221107,FIU,Houston Christian,H,11
20221107,Jackson St.,Abilene Christian,A,-9
20221107,Wichita St.,Central Arkansas,H,24
20221107,Mississippi Valley S,Baylor,A,-64
20221107,Bethune Cookman,Iowa,A,-31
20221107,Texas Southern,San Francisco,A,-13
20221107,Northern Colorado,Houston,A,-47
20221107,St. Thomas,Creighton,A,-12
20221107,South Dakota,Wisconsin,A,-26
20221107,South Dakota St.,Akron,A,-1
20221107,Colgate,Buffalo,A,-1
20221107,North Carolina Centr,Virginia,A,-12
20221107,Maryland,Niagara,H,22
20221107,Eastern Illinois,Illinois,A,-30
20221107,Little Rock,Southern Illinois,A,-31
20221107,Denver,Idaho,H,5
20221107,Oral Roberts,Saint Mary's,A,-8
20221107,Nebraska Omaha,Kansas,A,-25
20221107,North Dakota St.,Arkansas,A,-18
20221107,North Dakota,Incarnate Word,A,8
20221107,Western Illinois,Illinois St.,A,3
20221107,San Francisco,Texas Southern,H,13
20221107,Pepperdine,Rice,H,39
20221107,Pacific,Stanford,A,-10
20221107,Saint Mary's,Oral Roberts,H,8
20221107,Gonzaga,North Florida,H,41
20221107,BYU,Idaho St.,H,4
20221107,Santa Clara,Eastern Washington,H,12
20221107,Navy,William & Mary,A,15
20221107,Florida A&M,Oregon,A,-35
20221107,Lafayette,Miami FL,A,-13
20221107,Loyola MD,DePaul,A,-6
20221107,Holy Cross,Siena,H,-7
20221107,Wisconsin,South Dakota,H,26
20221107,Boston University,Northeastern,H,9
20221107,Marquette,Radford,H,10
20221107,UNC Wilmington,North Carolina,A,-13
20221107,Green Bay,Indiana St.,A,-27
20221107,Youngstown St.,Canisius,A,11
20221107,UNLV,Southern,H,10
20221107,Nebraska,Maine,H,13
20221107,Howard,Kentucky,A,-32
20221107,Western Carolina,Georgia,A,-13
20221107,VMI,Richmond,A,-21
20221107,The Citadel,Clemson,A,-11
20221107,Robert Morris,Ohio St.,A,-38
20221107,Chattanooga,College of Charlesto,A,-7
20221107,Northeastern,Boston University,A,-9
20221107,Fordham,Dartmouth,H,14
20221107,Winthrop,Penn St.,A,-25
20221107,UNC Asheville,UCF,A,3
20221107,Oklahoma,Sam Houston St.,H,-1
20221107,Creighton,St. Thomas,H,12
20221107,South Florida,Southeast Missouri S,H,-3
20221107,Xavier,Morgan St.,H,23
20221107,Tennessee Martin,Pittsburgh,A,-22
20221107,Alcorn St.,Mississippi,A,-15
20221107,Alabama St.,UAB,A,-41
20221107,Arkansas Pine Bluff,TCU,A,-1
20221107,Lehigh,Syracuse,A,-18
20221107,North Carolina,UNC Wilmington,H,13
20221107,Central Arkansas,Wichita St.,A,-24
20221107,Florida St.,Stetson,H,-9
20221107,Eastern Washington,Santa Clara,A,-12
20221107,Texas,UTEP,H,15
20221107,Miami OH,Evansville,H,-4
20221107,Brown,Vermont,A,-15
20221107,Jacksonville,Duke,A,-27
20221107,St. Bonaventure,St. Francis PA,H,13
20221107,Penn,Iona,A,-28
20221107,Tulsa,Oregon St.,A,-3
20221107,Maine,Nebraska,A,-13
20221107,Toledo,Valparaiso,H,15
20221107,Virginia Tech,Delaware St.,H,38
20221107,TCU,Arkansas Pine Bluff,H,1
20221107,Bowling Green,Air Force,H,4
20221107,Princeton,Hofstra,H,-6
20221107,Murray St.,Saint Louis,A,-23
20221107,Weber St.,Washington,A,-17
20221107,Florida Gulf Coast,USC,A,13
20221107,Northern Arizona,Michigan St.,A,-18
20221107,Pittsburgh,Tennessee Martin,H,22
20221107,UCF,UNC Asheville,H,-3
20221107,Illinois St.,Western Illinois,H,-3
20221107,Iowa St.,IUPUI,H,49
20221107,Richmond,VMI,H,21
20221107,Indiana St.,Green Bay,H,27
20221107,UMBC,Tulane,A,-22
20221107,Valparaiso,Toledo,A,-15
20221107,California,UC Davis,H,-10
20221107,Fort Wayne,Michigan,A,-19
20221107,Albany,Towson,A,-5
20221107,Rhode Island,Quinnipiac,H,-5
20221107,Ohio,Belmont,A,-1
20221107,Evansville,Miami OH,A,4
20221107,Dartmouth,Fordham,A,-14
20221107,La Salle,Villanova,A,-13
20221107,Akron,South Dakota St.,H,1
20221107,Long Beach St.,Cal Baptist,A,15
20221107,Belmont,Ohio,H,1
20221107,USC,Florida Gulf Coast,H,-13
20221107,UTEP,Texas,A,-15
20221107,Southern Illinois,Little Rock,H,31
20221107,Baylor,Mississippi Valley S,H,64
20221107,Utah,LIU Brooklyn,H,41
20221107,Idaho St.,BYU,A,-4
20221107,Montana St.,Grand Canyon,A,-6
20221107,Arizona,Nicholls St.,H,42
20221107,Merrimack,St. John's,A,-25
20221107,Clemson,The Citadel,H,11
20221107,Western Michigan,Minnesota,A,-1
20221107,Temple,Wagner,H,-3
20221107,Duke,Jacksonville,H,27
20221107,St. Francis PA,St. Bonaventure,A,-13
20221107,Georgia,Western Carolina,H,13
20221107,Buffalo,Colgate,H,1
20221107,Idaho,Denver,A,-5
20221107,Central Connecticut,Massachusetts,A,-27
20221107,Washington,Weber St.,H,17
20221107,Colorado,UC Riverside,H,16
20221107,Oregon,Florida A&M,H,35
20221107,Queens,Marshall,H,1
20221107,Sacramento St.,UCLA,A,-26
20221107,UC Riverside,Colorado,A,-16
20221107,Arkansas,North Dakota St.,H,18
20221107,Wagner,Temple,A,3
20221107,Butler,New Orleans,H,36
20221107,SMU,Texas A&M Commerce,H,17
20221107,Kansas,Nebraska Omaha,H,25
20221107,Texas Tech,Northwestern St.,H,24
20221107,Houston,Northern Colorado,H,47
20221107,Kent St.,Northern Kentucky,A,22
20221107,Stanford,Pacific,H,10
20221107,Oregon St.,Tulsa,H,3
20221107,Marshall,Queens,A,-1
20221107,LIU Brooklyn,Utah,A,-41
20221107,Texas A&M,Louisiana Monroe,H,33
20221107,Kansas St.,UT Rio Grande Valley,H,34
20221107,Stonehill,Connecticut,A,-31
20221107,Columbia,Rutgers,A,-40
20221107,Mississippi,Alcorn St.,H,15
20221107,Morgan St.,Xavier,A,-23
20221107,Washington St.,Texas St.,H,22
20221107,Virginia,North Carolina Centr,H,12
20221107,Mississippi St.,Texas A&M Corpus Chr,H,19
20221107,Michigan St.,Northern Arizona,H,18
20221107,Florida,Stony Brook,H,36
20221107,Missouri,Southern Indiana,H,6
20221107,Arizona St.,Tarleton St.,H,3
20221107,Fairleigh Dickinson,Loyola Chicago,A,-6
20221107,Austin Peay,North Carolina St.,A,-49
20221107,UCLA,Sacramento St.,H,26
20221107,Charlotte,Coppin St.,H,23
20221107,St. John's,Merrimack,H,25
20221107,Miami FL,Lafayette,H,13
20221107,Iowa,Bethune Cookman,H,31
20221107,Dayton,Lindenwood,H,27
20221107,George Mason,Auburn,A,-18
20221107,Auburn,George Mason,H,18
20221107,Tennessee,Tennessee Tech,H,32
20221107,Texas A&M Corpus Chr,Mississippi St.,A,-19
20221107,Rice,Pepperdine,A,-39
20221107,Texas A&M Commerce,SMU,A,-17
20221107,Texas St.,Washington St.,A,-22
20221107,Old Dominion,Maryland Eastern Sho,H,19
20221107,UC San Diego,Seattle,H,-14
20221107,Alabama,Longwood,H,21
20221107,Houston Christian,FIU,A,-11
20221107,New Orleans,Butler,A,-36
20221107,Northwestern St.,Texas Tech,A,-24
20221107,Nicholls St.,Arizona,A,-42
20221107,Incarnate Word,North Dakota,H,-8
20221107,Vanderbilt,Memphis,H,-9
20221107,Tulane,UMBC,H,22
20221107,Utah Tech,Nevada,A,-13
20221107,Grand Canyon,Montana St.,H,6
20221107,Cal Baptist,Long Beach St.,H,-15
20221107,Sam Houston St.,Oklahoma,A,1
20221107,Abilene Christian,Jackson St.,H,9
20221107,Cal St. Fullerton,San Diego St.,A,-23
20221107,Kentucky,Howard,H,32
20221107,Southern Utah,New Mexico,A,-8
20221107,Tarleton St.,Arizona St.,A,-3
20221107,Delaware St.,Virginia Tech,A,-38
20221107,UT Arlington,Oklahoma St.,A,-11
20221107,UT Rio Grande Valley,Kansas St.,A,-34
20221107,Seattle,UC San Diego,A,14
20221107,Utah Valley,Utah St.,A,-17
20221108,Milwaukee,Purdue,A,-31
20221108,South Carolina St.,South Carolina,A,-3
20221108,Coppin St.,Georgetown,A,-10
20221108,Mercer,East Carolina,A,-2
20221108,Georgetown,Coppin St.,H,10
20221108,Purdue,Milwaukee,H,31
20221108,Georgia Southern,San Jose St.,A,-15
20221108,Montana,Duquesne,A,-28
20221108,Providence,Rider,H,1
20221108,East Carolina,Mercer,H,2
20221108,Rider,Providence,A,-1
20221108,South Carolina,South Carolina St.,H,3
20221108,Duquesne,Montana,H,28
20221108,San Jose St.,Georgia Southern,H,15
20221108,Sacred Heart,Hartford,A,7
20221109,Portland,Florida A&M,H,37
20221109,San Diego,Florida Gulf Coast,H,6
20221109,IUPUI,Drake,A,-32
20221109,American,Marist,A,-4
20221109,Lipscomb,South Dakota,A,-8
20221109,Monmouth,Seton Hall,A,-27
20221109,Florida Gulf Coast,San Diego,A,-6
20221109,Marist,American,H,4
20221109,Drake,IUPUI,H,32
20221109,LSU,UMKC,H,11
20221109,Davidson,Wright St.,A,5
20221109,Tennessee Martin,Youngstown St.,A,-18
20221109,Hampton,James Madison,A,-48
20221109,Bellarmine,Louisville,A,1
20221109,Boise St.,South Dakota St.,H,-2
20221109,Seton Hall,Monmouth,H,27
20221109,Louisville,Bellarmine,H,-1
20221109,James Madison,Hampton,H,48
20221109,South Dakota,Lipscomb,H,8
20221109,South Dakota St.,Boise St.,A,2
20221109,UMKC,LSU,A,-11
20221109,Wright St.,Davidson,H,-5
20221109,Youngstown St.,Tennessee Martin,H,18
20221109,Florida A&M,Portland,A,-37
20221110,Texas,Houston Christian,H,51
20221110,Towson,Massachusetts,A,12
20221110,Brown,Colgate,H,-9
20221110,Alabama A&M,North Alabama,H,-8
20221110,Illinois St.,Eastern Illinois,A,5
20221110,Oklahoma St.,Southern Illinois,H,-1
20221110,Vermont,Saint Mary's,A,-26
20221110,Cincinnati,Cleveland St.,H,11
20221110,Western Kentucky,Eastern Kentucky,A,6
20221110,Maryland,Western Carolina,H,20
20221110,Virginia Tech,Lehigh,H,26
20221110,UC Riverside,Loyola Marymount,A,2
20221110,Appalachian St.,North Carolina Centr,H,5
20221110,Cal Poly,San Francisco,A,-12
20221110,Rutgers,Sacred Heart,H,38
20221110,Arizona St.,Northern Arizona,H,16
20221110,Radford,Notre Dame,A,-3
20221110,Bethune Cookman,Indiana,A,-52
20221110,Alabama St.,USC,A,-38
20221110,Nebraska Omaha,Nebraska,A,-14
20221110,Indiana,Bethune Cookman,H,52
20221110,Kansas,North Dakota St.,H,23
20221110,Saint Mary's,Vermont,H,26
20221110,Loyola Marymount,UC Riverside,H,-2
20221110,Santa Clara,Georgia Southern,H,16
20221110,Creighton,North Dakota,H,35
20221110,North Dakota St.,Kansas,A,-23
20221110,San Francisco,Cal Poly,H,12
20221110,Massachusetts,Towson,H,-12
20221110,Nicholls St.,Wyoming,A,-11
20221110,Ohio St.,Charleston Southern,H,26
20221110,USC,Alabama St.,H,38
20221110,Colgate,Brown,A,9
20221110,Stonehill,Quinnipiac,H,-7
20221110,Georgia Southern,Santa Clara,A,-16
20221110,Houston Christian,Texas,A,-51
20221110,Gardner Webb,Stephen F. Austin,A,-15
20221110,The Citadel,Presbyterian,H,12
20221110,Presbyterian,The Citadel,A,-12
20221110,Western Carolina,Maryland,A,-20
20221110,Marquette,Central Michigan,H,24
20221110,Penn St.,Loyola MD,H,25
20221110,Charleston Southern,Ohio St.,A,-26
20221110,North Dakota,Creighton,A,-35
20221110,Southern Illinois,Oklahoma St.,A,1
20221110,Wyoming,Nicholls St.,H,11
20221110,Texas Southern,Texas Tech,A,-24
20221110,Stephen F. Austin,Gardner Webb,H,15
20221110,Quinnipiac,Stonehill,A,7
20221110,Eastern Illinois,Illinois St.,H,-5
20221110,Columbia,UMass Lowell,H,-27
20221110,Loyola MD,Penn St.,A,-25
20221110,Lehigh,Virginia Tech,A,-26
20221110,Cleveland St.,Cincinnati,A,-11
20221110,North Carolina Centr,Appalachian St.,A,-5
20221110,North Alabama,Alabama A&M,A,8
20221110,Northern Arizona,Arizona St.,A,-16
20221110,Central Michigan,Marquette,A,-24
20221110,UMass Lowell,Columbia,A,27
20221110,Notre Dame,Radford,H,3
20221110,Texas Tech,Texas Southern,H,24
20221110,Nebraska,Nebraska Omaha,H,14
20221110,Eastern Kentucky,Western Kentucky,H,-6
20221110,Sacred Heart,Rutgers,A,-38
20221111,Pittsburgh,West Virginia,H,-25
20221111,Old Dominion,Drexel,A,-12
20221111,Virginia,Monmouth,H,47
20221111,Longwood,George Mason,A,-14
20221111,Howard,George Washington,A,-10
20221111,North Carolina St.,Campbell,H,6
20221111,Florida St.,UCF,A,-14
20221111,Oklahoma,Arkansas Pine Bluff,H,8
20221111,Northern Illinois,Northwestern,A,-17
20221111,Minnesota,St. Francis NY,H,18
20221111,SMU,Dayton,A,-12
20221111,Elon,East Tennessee St.,N,-13
20221111,Mississippi Valley S,Hawaii,A,-18
20221111,Belmont,Furman,A,-15
20221111,Arizona,Southern,H,17
20221111,Purdue,Austin Peay,H,19
20221111,Richmond,Northern Iowa,H,13
20221111,Florida A&M,Oregon St.,A,-17
20221111,Illinois,UMKC,H,38
20221111,Dartmouth,Bryant,H,-19
20221111,Louisiana Lafayette,Harvard,N,14
20221111,Montana,Xavier,A,-22
20221111,Villanova,Temple,A,-4
20221111,North Carolina,College of Charlesto,H,16
20221111,Illinois Chicago,Loyola Chicago,H,-7
20221111,College of Charlesto,North Carolina,A,-16
20221111,Iona,Hofstra,A,-5
20221111,Delaware,Air Force,A,-4
20221111,Bryant,Dartmouth,A,19
20221111,Iowa,North Carolina A&T,H,41
20221111,New Hampshire,Fairfield,H,12
20221111,Liberty,Alabama,A,-36
20221111,Boston College,Detroit,H,4
