DATE,TEAM,OPP.,VENUE,RESULT
20101108,Rhode Island,Pittsburgh,A,-8
20101108,Pittsburgh,Rhode Island,H,8
20101108,Illinois,UC Irvine,H,14
20101108,Navy,Texas,A,-31
20101108,Maryland,Seattle,H,29
20101108,Texas,Navy,H,31
20101108,UC Irvine,Illinois,A,-14
20101110,Toledo,Illinois,A,-39
20101110,Illinois Chicago,Pittsburgh,A,-43
20101110,Illinois,Toledo,H,39
20101110,College of Charlesto,Maryland,A,-1
20101110,Maryland,College of Charlesto,H,1
20101110,Texas,Louisiana Tech,H,31
20101110,Pittsburgh,Illinois Chicago,H,43
20101110,Louisiana Tech,Texas,A,-31
20101112,Loyola MD,Drexel,H,-3
20101112,Northeastern,Boston University,H,2
20101112,Cleveland St.,Bryant,H,14
20101112,West Virginia,Oakland,H,24
20101112,Eastern Washington,San Jose St.,H,-7
20101112,Gardner Webb,Charlotte,A,8
20101112,Mississippi Valley S,Georgia,A,-2
20101112,Portland St.,Pepperdine,H,2
20101112,Youngstown St.,Samford,H,3
20101112,Memphis,Centenary,H,64
20101112,Seton Hall,Temple,A,-6
20101112,Lipscomb,North Carolina,A,-14
20101112,American,St. Francis PA,H,10
20101112,Norfolk St.,LIU Brooklyn,A,-23
20101112,Fordham,Brown,H,-4
20101112,Cal St. Fullerton,Central Michigan,N,-3
20101112,Syracuse,Northern Iowa,H,22
20101112,BYU,Fresno St.,H,27
20101112,Tennessee St.,Mississippi St.,A,-10
20101112,Milwaukee,Portland,A,-20
20101112,VCU,UNC Greensboro,H,15
20101112,Charleston Southern,Georgia Tech,A,-13
20101112,South Florida,Southern Miss,H,-7
20101112,Loyola Chicago,Eastern Kentucky,H,16
20101112,Villanova,Bucknell,H,16
20101112,James Madison,Kansas St.,A,-14
20101112,Austin Peay,Saint Louis,A,2
20101112,Old Dominion,Georgetown,H,-3
20101112,Indiana,Florida Gulf Coast,H,28
20101112,Towson,Miami OH,A,-3
20101112,Canisius,St. Bonaventure,H,10
20101112,Clemson,Western Carolina,H,23
20101112,Georgetown,Old Dominion,A,3
20101112,UNC Wilmington,Florida,A,-17
20101112,Northwestern,Northern Illinois,A,19
20101112,Bucknell,Villanova,A,-16
20101112,Howard,Bowling Green,H,2
20101112,UNC Asheville,Auburn,A,1
20101112,Notre Dame,Georgia Southern,H,37
20101112,Stetson,Wake Forest,A,10
20101112,Presbyterian,Vanderbilt,A,-41
20101112,Florida St.,North Florida,H,20
20101112,Northern Arizona,Iowa St.,A,-14
20101112,Rider,Massachusetts,A,-10
20101112,St. Bonaventure,Canisius,A,-10
20101112,Cal St. Northridge,UCLA,A,-33
20101112,North Carolina A&T,Ohio St.,A,-41
20101112,Southern,Gonzaga,A,-45
20101112,Maryland Eastern Sho,Tulane,H,-29
20101112,Prairie View A&M,Marquette,A,-39
20101112,Grambling St.,Baylor,A,-35
20101112,Lafayette,Wagner,A,-5
20101112,The Citadel,Richmond,A,-42
20101112,Oakland,West Virginia,A,-24
20101112,Oral Roberts,Missouri St.,A,-17
20101112,Fort Wayne,SIU Edwardsville,A,15
20101112,Jackson St.,TCU,A,-24
20101112,North Dakota St.,Oregon,A,-5
20101112,UNC Greensboro,VCU,A,-15
20101112,Alcorn St.,Texas A&M,A,-32
20101112,Samford,Youngstown St.,A,-3
20101112,Santa Clara,Cal St. Bakersfield,H,5
20101112,San Francisco,Seattle,H,21
20101112,Pepperdine,Portland St.,A,-2
20101112,Portland,Milwaukee,H,20
20101112,Loyola Marymount,Morgan St.,H,-2
20101112,Gonzaga,Southern,H,45
20101112,South Dakota St.,Eastern Illinois,A,12
20101112,La Salle,Columbia,H,11
20101112,Alabama St.,Creighton,A,-14
