DATE,TEAM,OPP.,VENUE,RESULT
20131108,George Washington,Radford,H,22
20131108,UMBC,Arizona St.,A,-35
20131108,Purdue,Northern Kentucky,H,1
20131108,Belmont,Lipscomb,A,4
20131108,VCU,Illinois St.,H,38
20131108,Colgate,Wake Forest,A,-11
20131108,Tennessee St.,Hawaii,A,-30
20131108,Wyoming,Tennessee Martin,H,18
20131108,SIU Edwardsville,Arkansas,A,-34
20131108,UNC Wilmington,Iowa,A,-43
20131108,Indiana,Chicago St.,H,28
20131108,Drexel,UCLA,A,-5
20131108,Florida Gulf Coast,Nebraska,A,-24
20131108,Florida St.,Jacksonville,H,24
20131108,Wisconsin,St. John's,N,11
20131108,The Citadel,VMI,A,-11
20131108,North Carolina Centr,Cincinnati,A,-13
20131108,Murray St.,Valparaiso,A,-3
20131108,Presbyterian,Georgia Tech,A,-31
20131108,Lafayette,Villanova,A,-16
20131108,Gardner Webb,Xavier,A,-24
20131108,Houston,Texas St.,H,6
20131108,San Diego St.,UC Riverside,H,36
20131108,Illinois,Alabama St.,H,17
20131108,St. John's,Wisconsin,N,-11
20131108,Duke,Davidson,H,34
20131108,Northern Kentucky,Purdue,A,-1
20131108,VMI,The Citadel,H,11
20131108,Delaware,Richmond,A,-2
20131108,Lipscomb,Belmont,H,-4
20131108,UMass Lowell,Michigan,A,-27
20131108,Minnesota,Lehigh,H,19
20131108,Towson,Navy,H,27
20131108,Radford,George Washington,A,-22
20131108,Milwaukee,Loyola Chicago,A,-4
20131108,Michigan,UMass Lowell,H,27
20131108,Georgetown,Oregon,N,-7
20131108,Detroit,South Alabama,A,-16
20131108,Albany,Siena,A,12
20131108,Navy,Towson,A,-27
20131108,Florida A&M,Rutgers,A,-8
20131108,Savannah St.,Pittsburgh,A,-33
20131108,Eastern Kentucky,FIU,N,22
20131108,Siena,Albany,H,-12
20131108,George Mason,American,H,3
20131108,Villanova,Lafayette,H,16
20131108,Portland St.,UNLV,A,-19
20131108,Youngstown St.,Kennesaw St.,A,16
20131108,Nevada,Pacific,H,-2
20131108,Iowa,UNC Wilmington,H,43
20131108,Southern,Marquette,A,-7
20131108,Prairie View A&M,Mississippi St.,A,-15
20131108,Alabama St.,Illinois,A,-17
20131108,Coastal Carolina,Akron,A,-9
20131108,Wofford,Georgia,A,-20
20131108,Mississippi Valley S,Oklahoma St.,A,-55
20131108,Oakland,North Carolina,A,-23
20131108,Marist,Stony Brook,A,-16
20131108,Davidson,Duke,A,-34
20131108,South Dakota St.,San Diego,A,-4
20131108,Appalachian St.,North Carolina St.,A,-21
20131108,Nebraska Omaha,Northern Illinois,A,2
20131108,IUPUI,Utah Valley,A,-8
20131108,Army,Air Force,N,-11
