DATE,TEAM,OPP.,VENUE,RESULT
20171110,Dayton,Ball St.,H,1
20171110,Oakland,Fort Wayne,H,14
20171110,Gardner Webb,Miami FL,A,-32
20171110,Virginia,UNC Greensboro,H,12
20171110,Yale,Creighton,A,-16
20171110,Iona,Albany,A,-2
20171110,Presbyterian,Tennessee,A,-35
20171110,Detroit,Virginia Tech,A,-32
20171110,Morgan St.,Binghamton,A,-17
20171110,Siena,College of Charlesto,A,-8
20171110,Drexel,Bowling Green,H,-9
20171110,Duke,Elon,H,29
20171110,Loyola MD,Northwestern,A,-4
20171110,Savannah St.,Cincinnati,A,-30
20171110,Holy Cross,Sacred Heart,A,5
20171110,Utah St.,Weber St.,A,-6
20171110,Belmont,Washington,A,-4
20171110,Morehead St.,Xavier,A,-52
20171110,College of Charlesto,Siena,H,8
20171110,William & Mary,High Point,A,-34
20171110,Creighton,Yale,H,16
20171110,Florida A&M,Grand Canyon,A,-16
20171110,Illinois Chicago,North Carolina Centr,H,10
20171110,Texas,Northwestern St.,H,46
20171110,Nevada,Idaho,H,24
20171110,Villanova,Columbia,H,15
20171110,Seton Hall,Fairleigh Dickinson,H,22
20171110,SIU Edwardsville,Purdue,A,-31
20171110,Jacksonville,UAB,A,-29
20171110,Miami OH,Fordham,A,1
20171110,Northwestern,Loyola MD,H,4
20171110,Wright St.,Loyola Chicago,A,-4
20171110,Coppin St.,Oregon,A,-16
20171110,North Carolina,Northern Iowa,H,17
20171110,USC Upstate,Minnesota,A,-15
20171110,South Carolina St.,Wisconsin,A,-35
20171110,SMU,UMBC,H,11
20171110,Penn St.,Campbell,H,11
20171110,Cornell,Syracuse,A,-32
20171110,Hofstra,Army,H,3
20171110,Tulsa,Lamar,H,-7
20171110,Niagara,St. Bonaventure,A,2
20171110,Purdue,SIU Edwardsville,H,31
20171110,Butler,Kennesaw St.,H,18
20171110,Tulane,LIU Brooklyn,H,6
20171110,Northeastern,Boston University,A,6
20171110,Norfolk St.,Auburn,A,-28
20171110,Towson,Old Dominion,A,-3
20171110,Delaware,Richmond,A,13
20171110,North Florida,Michigan St.,A,-32
20171110,UNC Asheville,Rhode Island,A,-24
20171110,Western Carolina,Clemson,A,-28
20171110,Stony Brook,Maryland,N,-15
20171110,South Florida,Florida Atlantic,H,1
20171110,Charleston Southern,Davidson,A,-48
20171110,Wichita St.,UMKC,H,52
20171110,Howard,George Washington,A,-9
20171110,Lafayette,George Mason,A,-2
20171110,Providence,Houston Christian,H,29
20171110,George Washington,Howard,H,9
20171110,Austin Peay,Vanderbilt,A,-19
20171110,Mercer,UCF,A,-9
20171110,Wyoming,Chattanooga,H,9
20171110,UNC Greensboro,Virginia,A,-12
20171110,Wofford,South Carolina,H,-21
20171110,Boston University,Northeastern,H,-6
20171110,Alcorn St.,LSU,A,-40
20171110,St. John's,New Orleans,H,16
20171110,Tennessee Martin,Marshall,A,-11
20171110,Arkansas Pine Bluff,Hawaii,A,-12
20171110,Wake Forest,Georgia Southern,H,-2
20171110,Fort Wayne,Oakland,A,-14
20171110,Nebraska Omaha,Montana St.,A,-9
20171110,South Dakota St.,UC Irvine,H,11
20171110,Alabama St.,Mississippi St.,A,-28
20171110,Texas Southern,Gonzaga,A,-28
20171110,Southern,Illinois,A,-47
20171110,Prairie View A&M,Utah,A,-21
20171110,Grambling St.,VCU,A,-29
20171110,Columbia,Villanova,A,-15
20171110,VMI,North Carolina St.,A,-35
20171110,Gonzaga,Texas Southern,H,28
20171110,Pepperdine,Oklahoma St.,A,-31
20171110,San Francisco,Long Beach St.,H,-12
20171110,Northern Kentucky,East Tennessee St.,H,18
20171110,UMass Lowell,Massachusetts,A,-5
20171110,Chattanooga,Wyoming,A,-9
20171110,High Point,William & Mary,H,34
20171110,Illinois,Southern,H,47
20171110,Eastern Kentucky,Rice,A,1
20171110,Samford,Arkansas,A,-39
20171110,Kansas St.,American,H,38
20171110,Boston College,Maine,H,20
20171110,Navy,Pittsburgh,H,9
20171110,Cincinnati,Savannah St.,H,30
20171110,Marquette,Mount St. Mary's,H,21
20171110,Winthrop,Southern Illinois,H,-15
20171110,Colgate,Connecticut,A,-12
20171110,Bucknell,Monmouth,A,-1
20171110,Army,Hofstra,A,-3
