DATE,TEAM,OPP.,VENUE,RESULT
20121109,Saint Louis,USC Upstate,H,17
20121109,Niagara,Oregon St.,A,-19
20121109,Stetson,Miami FL,A,-8
20121109,Kennesaw St.,Tennessee,A,-9
20121109,Hampton,William & Mary,A,-18
20121109,UMBC,Penn,A,-5
20121109,Austin Peay,Samford,H,11
20121109,Georgia St.,Duke,A,-19
20121109,Marshall,Longwood,H,34
20121109,Colgate,Illinois,A,-20
20121109,Colorado St.,Montana,H,7
20121109,Fresno St.,Texas,A,-2
20121109,Wofford,Colorado,A,-15
20121109,Charleston Southern,Charlotte,A,-10
20121109,Holy Cross,Old Dominion,A,1
20121109,Duquesne,Albany,A,-3
20121109,Marist,Stony Brook,H,-3
20121109,Pittsburgh,Mount St. Mary's,H,32
20121109,Southern,Iowa St.,A,-23
20121109,Southeast Missouri S,Kansas,A,-19
20121109,Wake Forest,Radford,H,12
20121109,Liberty,Richmond,A,-42
20121109,Jacksonville,Georgia,A,-6
20121109,Coppin St.,USC,A,-14
20121109,Loyola MD,Binghamton,H,26
20121109,Tulane,Georgia Tech,A,-18
20121109,American,Minnesota,A,-36
20121109,Fordham,Texas St.,A,-10
20121109,Iona,Denver,H,7
20121109,UC Santa Barbara,LSU,A,-14
20121109,Valparaiso,Georgia Southern,H,31
20121109,Tennessee Martin,Little Rock,A,-16
20121109,Drexel,Kent St.,A,-4
20121109,Cleveland St.,Grambling St.,H,43
20121109,Indiana,Bryant,H,43
20121109,Miami FL,Stetson,H,8
20121109,Penn St.,St. Francis PA,H,7
20121109,Morehead St.,LIU Brooklyn,A,3
20121109,Rhode Island,Norfolk St.,H,-12
20121109,Connecticut,Michigan St.,N,4
20121109,Eastern Illinois,Bradley,A,-23
20121109,Radford,Wake Forest,A,-12
20121109,William & Mary,Hampton,H,18
20121109,Seton Hall,UMKC,N,39
20121109,UNC Greensboro,High Point,A,-8
20121109,Florida A&M,Houston,A,-5
20121109,Bucknell,Purdue,A,5
20121109,College of Charlesto,Towson,H,17
20121109,Mississippi Valley S,Mississippi,A,-36
20121109,Rider,Robert Morris,H,25
20121109,Prairie View A&M,Texas Tech,A,-10
20121109,IUPUI,Utah Valley,H,13
20121109,South Dakota St.,Alabama,A,-3
20121109,Nebraska Omaha,Northern Illinois,H,13
20121109,Alabama St.,Middle Tennessee,A,-44
20121109,UMKC,Seton Hall,N,-39
20121109,Lehigh,Baylor,A,-22
20121109,Norfolk St.,Rhode Island,A,12
20121109,Fort Wayne,Auburn,A,-11
20121109,Maryland Eastern Sho,Hawaii,A,-12
20121109,San Francisco,Stanford,N,-12
20121109,BYU,Tennessee St.,H,15
20121109,Gonzaga,Southern Utah,H,38
20121109,Pepperdine,Cal St. Northridge,A,-6
20121109,Samford,Austin Peay,A,-11
20121109,Arkansas Pine Bluff,Houston Christian,N,-4
20121109,Grambling St.,Cleveland St.,A,-43
20121109,Towson,College of Charlesto,A,-17
20121109,Loyola Chicago,Toledo,H,12
20121109,Rutgers,Saint Peter's,H,-4
20121109,DePaul,UC Riverside,H,32
20121109,USC Upstate,Saint Louis,A,-17
20121109,Lafayette,St. Francis NY,H,-11
20121109,Western Carolina,UNC Asheville,A,-10
20121109,George Mason,Virginia,H,4
20121109,Tennessee St.,BYU,A,-15
20121109,Belmont,Lipscomb,A,29
20121109,Georgia Southern,Valparaiso,A,-31
20121109,Saint Peter's,Rutgers,A,4
20121109,Minnesota,American,H,36
20121109,Coastal Carolina,Akron,H,4
20121109,North Carolina St.,Miami OH,H,38
20121109,Morgan St.,UTSA,N,12
20121109,Hofstra,Monmouth,A,-29
20121109,Old Dominion,Holy Cross,H,-1
