DATE,TEAM,OPP.,VENUE,RESULT
20231106,Rhode Island,Central Connecticut,H,11
20231106,Howard,Hampton,H,12
20231106,Delaware,Bucknell,A,21
20231106,Siena,Holy Cross,H,2
20231106,Campbell,Navy,H,11
20231106,Northeastern,Boston University,H,9
20231106,Wisconsin,Arkansas St.,H,29
20231106,UMBC,Louisville,A,-1
20231106,Saint Peter's,Seton Hall,A,-11
20231106,Maryland Eastern Sho,Temple,A,-20
20231106,Elon,Wake Forest,A,-23
20231106,Tennessee Tech,Tennessee,A,-38
20231106,Colorado St.,Louisiana Tech,H,8
20231106,Providence,Columbia,H,19
20231106,Oakland,Ohio St.,A,-6
20231106,Seton Hall,Saint Peter's,H,11
20231106,Nebraska,Lindenwood,H,32
20231106,North Carolina,Radford,H,16
20231106,Virginia,Tarleton St.,H,30
20231106,Rutgers,Princeton,N,-7
20231106,Duquesne,Cleveland St.,H,2
20231106,Purdue,Samford,H,53
20231106,Monmouth,George Mason,A,-11
20231106,Little Rock,Texas St.,H,5
20231106,Alabama St.,Mississippi,A,-10
20231106,Detroit,Toledo,A,-34
20231106,Bellarmine,Washington,A,-34
20231106,Southern Indiana,Saint Louis,A,-12
20231106,Coppin St.,Virginia Tech,A,-45
20231106,Morgan St.,Arizona,A,-63
20231106,Green Bay,Iowa St.,A,-41
20231106,TCU,Southern,H,33
20231106,UTSA,Western Illinois,H,10
20231106,Louisville,UMBC,H,1
20231106,George Mason,Monmouth,H,11
20231106,SIU Edwardsville,Dayton,A,-16
20231106,Memphis,Jackson St.,H,17
20231106,Virginia Tech,Coppin St.,H,45
20231106,Pittsburgh,North Carolina A&T,H,48
20231106,Marist,Army,A,16
20231106,Northern Kentucky,Middle Tennessee,A,-17
20231106,Wake Forest,Elon,H,23
20231106,Saint Joseph's,Lafayette,H,21
20231106,Southeast Missouri S,Grand Canyon,A,-21
20231106,Northern Arizona,Connecticut,A,-43
20231106,Iona,College of Charlesto,A,-2
20231106,Air Force,Portland St.,H,-7
20231106,Manhattan,Bryant,A,2
20231106,Fairfield,Boston College,A,-19
20231106,North Carolina A&T,Pittsburgh,A,-48
20231106,Western Illinois,UTSA,A,-10
20231106,Marquette,Northern Illinois,H,22
20231106,Boston College,Fairfield,H,19
20231106,Syracuse,New Hampshire,H,11
20231106,North Carolina Centr,Kansas,A,-43
20231106,New Mexico,Texas Southern,H,37
20231106,Towson,Colorado,A,-18
20231106,The Citadel,North Carolina St.,A,-13
20231106,Longwood,St. Bonaventure,A,-4
20231106,Alcorn St.,Arkansas,A,-34
20231106,Texas Southern,New Mexico,A,-37
20231106,Mississippi Valley S,LSU,A,-46
20231106,Jackson St.,Memphis,A,-17
20231106,Bethune Cookman,Minnesota,A,-20
20231106,Arkansas Pine Bluff,Missouri,A,-22
20231106,VMI,Richmond,A,-18
20231106,Southern,TCU,A,-33
20231106,Radford,North Carolina,A,-16
20231106,St. Bonaventure,Longwood,H,4
20231106,Bucknell,Delaware,H,-21
20231106,Holy Cross,Siena,A,-2
20231106,Denver,UC San Diego,A,-8
20231106,North Dakota St.,Western Michigan,A,4
20231106,Oral Roberts,UT Arlington,A,-4
