DATE,TEAM,OPP.,VENUE,RESULT
20161111,Dayton,Austin Peay,H,28
20161111,Tulsa,Jacksonville St.,H,-11
20161111,Marquette,Vanderbilt,N,24
20161111,Jacksonville St.,Tulsa,A,11
20161111,Penn St.,Albany,H,-6
20161111,Valparaiso,Southern Utah,H,14
20161111,Albany,Penn St.,A,6
20161111,Nevada,Saint Mary's,A,-18
20161111,SIU Edwardsville,Hawaii,A,1
20161111,UNLV,South Alabama,H,-8
20161111,Navy,Ohio St.,H,-10
20161111,South Carolina St.,Wichita St.,A,-46
20161111,Marist,Duke,A,-45
20161111,Villanova,Lafayette,H,40
20161111,Monmouth,Drexel,H,13
20161111,UAB,Arkansas Pine Bluff,H,20
20161111,Seton Hall,Fairleigh Dickinson,H,21
20161111,Tennessee Tech,Georgia Tech,A,-15
20161111,Coppin St.,Hofstra,A,-2
20161111,Norfolk St.,Mississippi St.,A,-4
20161111,Army,Oregon,A,-14
20161111,Oakland,Bowling Green,H,8
20161111,Furman,Presbyterian,A,-2
20161111,Fairfield,Sacred Heart,H,22
20161111,Kansas,Indiana,N,-4
20161111,American,Maryland,A,-6
20161111,Wake Forest,Radford,H,21
20161111,Wisconsin,Central Arkansas,H,32
20161111,St. John's,Bethune Cookman,H,47
20161111,Connecticut,Wagner,H,-9
20161111,Savannah St.,Iowa St.,A,-42
20161111,Illinois Chicago,San Francisco,A,-2
20161111,Clemson,Georgia,H,10
20161111,San Diego St.,San Diego,H,10
20161111,Indiana,Kansas,N,4
20161111,Fresno St.,UTSA,H,3
20161111,Utah St.,UC Irvine,A,16
20161111,New Mexico,Idaho St.,H,11
20161111,Idaho St.,New Mexico,A,-11
20161111,North Carolina St.,Georgia Southern,H,2
20161111,La Salle,Temple,A,-5
20161111,Maine,Virginia Tech,A,-13
20161111,Manhattan,Bucknell,A,-12
20161111,Creighton,UMKC,H,7
20161111,Hofstra,Coppin St.,H,2
20161111,Hampton,Rider,H,-11
20161111,North Florida,Auburn,A,-17
20161111,Wright St.,Southern Illinois,A,4
20161111,Minnesota,Louisiana Lafayette,H,12
20161111,Purdue,McNeese St.,H,44
20161111,Cincinnati,Brown,H,29
20161111,Florida A&M,South Florida,A,-11
20161111,East Tennessee St.,Fordham,H,37
20161111,Bethune Cookman,St. John's,A,-47
20161111,Radford,Wake Forest,A,-21
20161111,Florida Gulf Coast,Florida,A,-21
20161111,Maryland Eastern Sho,George Washington,A,-4
20161111,Texas,Incarnate Word,H,5
20161111,Southeast Missouri S,Illinois,A,-19
20161111,Arkansas Pine Bluff,UAB,A,-20
20161111,Tennessee Martin,Mississippi,A,-3
20161111,Boston College,Nicholls St.,H,-6
20161111,Prairie View A&M,Oregon St.,A,-20
20161111,The Citadel,College of Charlesto,A,-13
20161111,Mississippi Valley S,Northwestern,A,-31
20161111,Fort Wayne,Arkansas,A,-9
20161111,IUPUI,Eastern Kentucky,A,-10
20161111,Oral Roberts,Baylor,A,-15
20161111,North Dakota St.,Arkansas St.,H,10
20161111,Boston University,Northeastern,A,-10
20161111,South Dakota,Drake,A,5
20161111,Gardner Webb,SMU,A,-28
20161111,Alcorn St.,Loyola Chicago,A,-25
20161111,South Dakota St.,California,A,-29
20161111,Gonzaga,Utah Valley,H,23
20161111,Portland,UC Riverside,H,16
20161111,San Diego,San Diego St.,A,-10
20161111,Pacific,UCLA,A,-39
20161111,Santa Clara,Northern Arizona,H,3
20161111,Saint Mary's,Nevada,H,18
20161111,San Francisco,Illinois Chicago,H,2
20161111,Pepperdine,Cal Poly,H,9
20161111,Western Illinois,Kansas St.,A,-27
20161111,Duke,Marist,H,45
20161111,UNC Asheville,VCU,A,-15
20161111,UNC Greensboro,Virginia,H,-25
20161111,Bucknell,Manhattan,H,12
20161111,Northwestern,Mississippi Valley S,H,31
20161111,Duquesne,Loyola MD,H,5
20161111,Louisville,Evansville,H,31
20161111,Fordham,East Tennessee St.,A,-37
20161111,Michigan,Howard,H,18
20161111,Morgan St.,Houston,A,-41
20161111,Eastern Kentucky,IUPUI,H,10
20161111,Georgia Tech,Tennessee Tech,H,15
20161111,Alabama A&M,Missouri St.,A,-34
20161111,George Washington,Maryland Eastern Sho,H,4
20161111,Murray St.,Illinois St.,H,3
20161111,Hartford,Central Connecticut,A,-15
20161111,Presbyterian,Furman,H,2
20161111,Colgate,Syracuse,A,-28
20161111,Loyola MD,Duquesne,A,-5
20161111,Western Carolina,Miami FL,A,-49
20161111,Lehigh,Xavier,A,-3
20161111,Lafayette,Villanova,A,-40
20161111,VMI,Richmond,A,-3
20161111,Michigan St.,Arizona,N,-2
20161111,Austin Peay,Dayton,A,-28
20161111,Chattanooga,Tennessee,A,13
20161111,Rider,Hampton,A,11
20161111,Tennessee St.,UC Davis,N,14
20161111,Iowa,Kennesaw St.,H,17
20161111,Xavier,Lehigh,H,3
20161111,Grambling St.,East Carolina,A,-15
20161111,Pittsburgh,Eastern Michigan,H,3
20161111,Massachusetts,UMass Lowell,H,14
20161111,Sacramento St.,Colorado,A,-37
20161111,Oklahoma St.,Campbell,H,37
20161111,Iowa St.,Savannah St.,H,42
20161111,South Florida,Florida A&M,H,11
20161111,Houston,Morgan St.,H,41
20161111,UC Davis,Tennessee St.,N,-14
20161111,Miami FL,Western Carolina,H,49
20161111,Penn,Robert Morris,A,17
20161111,Campbell,Oklahoma St.,A,-37
20161111,James Madison,Old Dominion,A,-7
20161111,North Carolina,Tulane,A,20
20161111,Northeastern,Boston University,H,10
20161111,UC Irvine,Utah St.,H,-16
20161111,UTSA,Fresno St.,A,-3
20161111,Eastern Michigan,Pittsburgh,A,-3
20161111,Saint Louis,Ball St.,H,-21
20161111,Ohio St.,Navy,A,10
20161111,Hawaii,SIU Edwardsville,H,-1
20161111,Louisiana Tech,South Carolina,A,-9
20161111,Evansville,Louisville,A,-31
20161111,VCU,UNC Asheville,H,15
20161111,Brown,Cincinnati,A,-29
20161111,Cornell,Binghamton,A,-6
20161111,Virginia Tech,Maine,H,13
20161111,Missouri St.,Alabama A&M,H,34
20161111,Binghamton,Cornell,H,6
20161111,Niagara,Buffalo,H,-10
20161111,East Carolina,Grambling St.,H,15
20161111,Illinois,Southeast Missouri S,H,19
20161111,Buffalo,Niagara,A,10
20161111,Montana,USC,A,-14
20161111,Kennesaw St.,Iowa,A,-17
20161111,Tulane,North Carolina,H,-20
20161111,Mount St. Mary's,West Virginia,A,-28
20161111,Indiana St.,Northern Illinois,A,-2
20161111,Richmond,VMI,H,3
20161111,California,South Dakota St.,H,29
20161111,Arizona,Michigan St.,N,2
20161111,Rhode Island,Dartmouth,H,23
20161111,Bowling Green,Oakland,A,-8
20161111,Florida Atlantic,Texas St.,N,-4
20161111,Portland St.,Arizona St.,A,-18
20161111,Dartmouth,Rhode Island,A,-23
20161111,West Virginia,Mount St. Mary's,H,28
20161111,Columbia,Stony Brook,A,7
20161111,Texas St.,Florida Atlantic,N,4
20161111,UC Riverside,Portland,A,-16
20161111,Drexel,Monmouth,A,-13
20161111,Arkansas St.,North Dakota St.,A,-10
20161111,Robert Morris,Penn,H,-17
20161111,Loyola Chicago,Alcorn St.,H,25
20161111,Old Dominion,James Madison,H,7
20161111,Coastal Carolina,Alabama,A,-17
20161111,Syracuse,Colgate,H,28
20161111,Baylor,Oral Roberts,H,15
20161111,Kentucky,Stephen F. Austin,H,23
20161111,Cal Poly,Pepperdine,A,-9
20161111,Arizona St.,Portland St.,H,18
20161111,UCLA,Pacific,H,39
20161111,USC,Montana,H,14
20161111,Southern Utah,Valparaiso,A,-14
20161111,Wagner,Connecticut,A,9
20161111,Sacred Heart,Fairfield,A,-22
20161111,Central Connecticut,Hartford,H,15
20161111,Wichita St.,South Carolina St.,H,46
20161111,Tennessee,Chattanooga,H,-13
20161111,Stony Brook,Columbia,H,-7
20161111,UMass Lowell,Massachusetts,A,-14
20161111,Montana St.,Washington St.,A,-4
20161111,South Alabama,UNLV,A,8
20161111,Louisiana Lafayette,Minnesota,A,-12
20161111,Northern Illinois,Indiana St.,H,2
20161111,Temple,La Salle,H,5
20161111,Central Arkansas,Wisconsin,A,-32
20161111,Illinois St.,Murray St.,A,-3
20161111,SMU,Gardner Webb,H,28
20161111,Fairleigh Dickinson,Seton Hall,A,-21
20161111,Virginia,UNC Greensboro,A,25
20161111,College of Charlesto,The Citadel,H,13
20161111,Florida,Florida Gulf Coast,H,21
20161111,Howard,Michigan,A,-18
20161111,Colorado,Sacramento St.,H,37
20161111,Kansas St.,Western Illinois,H,27
20161111,Texas Tech,Houston Christian,H,26
20161111,Northern Arizona,Santa Clara,A,-3
20161111,Washington St.,Montana St.,H,4
20161111,Oregon St.,Prairie View A&M,H,20
20161111,Arkansas,Fort Wayne,H,9
20161111,Southern Illinois,Wright St.,H,-4
20161111,Drake,South Dakota,H,-5
20161111,South Carolina,Louisiana Tech,H,9
20161111,Mississippi,Tennessee Martin,H,3
20161111,Auburn,North Florida,H,17
20161111,Mississippi St.,Norfolk St.,H,4
20161111,Ball St.,Saint Louis,A,21
20161111,Maryland,American,H,6
20161111,Incarnate Word,Texas,A,-5
20161111,Georgia,Clemson,A,-10
20161111,Oregon,Army,H,14
20161111,McNeese St.,Purdue,A,-44
20161111,Georgia Southern,North Carolina St.,A,-2
20161111,Alabama,Coastal Carolina,H,17
20161111,UMKC,Creighton,A,-7
20161111,Utah Valley,Gonzaga,A,-23
20161111,Vanderbilt,Marquette,N,-24
20161111,Texas A&M,Northwestern St.,H,28
20161111,Houston Christian,Texas Tech,A,-26
20161111,Stephen F. Austin,Kentucky,A,-23
20161111,Northwestern St.,Texas A&M,A,-28
20161111,Nicholls St.,Boston College,A,6
20161112,Jacksonville,Denver,A,8
20161112,Appalachian St.,Davidson,A,-12
20161112,Marshall,North Carolina Centr,H,12
20161112,Kent St.,Cleveland St.,N,5
20161112,Stanford,Harvard,N,10
20161112,Western Kentucky,Alabama St.,H,13
20161112,Northern Arizona,Tennessee St.,N,-4
20161112,Nebraska Omaha,UC Santa Barbara,A,14
20161112,Alabama St.,Western Kentucky,A,-13
20161112,Vermont,Quinnipiac,A,24
20161112,Saint Joseph's,Toledo,H,1
20161112,Denver,Jacksonville,H,-8
20161112,North Carolina Centr,Marshall,A,-12
20161112,Santa Clara,UC Davis,H,-5
20161112,Texas Southern,UT Arlington,A,-7
20161112,Youngstown St.,Akron,H,8
20161112,Southern,Ohio,A,-10
20161112,LSU,Wofford,H,22
20161112,Florida St.,Charleston Southern,H,21
20161112,Ohio,Southern,H,10
20161112,Notre Dame,Bryant,H,25
20161112,Toledo,Saint Joseph's,A,-1
20161112,Davidson,Appalachian St.,H,12
20161112,Wofford,LSU,A,-22
20161112,Bryant,Notre Dame,A,-25
20161112,Duke,Grand Canyon,H,35
20161112,UT Arlington,Texas Southern,H,7
