DATE,TEAM,OPP.,VENUE,RESULT
20181106,Rhode Island,Bryant,H,34
20181106,Cleveland St.,Davidson,A,-20
20181106,Michigan,Norfolk St.,H,19
20181106,Nebraska,Mississippi Valley S,H,69
20181106,Monmouth,Lehigh,H,-24
20181106,Saint Louis,Southeast Missouri S,H,10
20181106,Villanova,Morgan St.,H,23
20181106,Fairfield,Purdue,A,-33
20181106,North Carolina St.,Mount St. Mary's,H,50
20181106,Campbell,UNC Wilmington,H,4
20181106,Michigan St.,Kansas,N,-5
20181106,New Mexico,Cal St. Northridge,A,3
20181106,Holy Cross,Sacred Heart,H,12
20181106,Gardner Webb,VCU,A,-12
20181106,Coppin St.,Wisconsin,A,-22
20181106,Marquette,UMBC,H,25
20181106,Rider,UCF,A,-14
20181106,College of Charlesto,Presbyterian,H,12
20181106,Samford,North Alabama,H,17
20181106,Maryland Eastern Sho,Georgetown,A,-15
20181106,Boston College,Milwaukee,H,20
20181106,Morgan St.,Villanova,A,-23
20181106,North Carolina,Wofford,A,11
20181106,Marist,Army,A,-4
20181106,La Salle,Temple,A,-8
20181106,Purdue,Fairfield,H,33
20181106,Eastern Illinois,Texas,A,-12
20181106,Delaware St.,East Carolina,A,-25
20181106,Hartford,Central Connecticut,H,-7
20181106,Seton Hall,Wagner,H,40
20181106,Florida St.,Florida,H,21
20181106,Winthrop,Vanderbilt,A,-13
20181106,Xavier,IUPUI,H,13
20181106,Southeast Missouri S,Saint Louis,A,-10
20181106,UNC Wilmington,Campbell,A,-4
20181106,Tennessee Tech,Memphis,A,-15
20181106,San Diego St.,Arkansas Pine Bluff,H,16
20181106,Detroit,Western Michigan,A,-13
20181106,Siena,Providence,A,-10
20181106,Stony Brook,George Washington,A,3
20181106,Indiana,Chicago St.,H,49
20181106,Idaho,UC Irvine,A,-18
20181106,Army,Marist,H,4
20181106,Clemson,The Citadel,H,20
20181106,Delaware,Maryland,A,-6
20181106,Norfolk St.,Michigan,A,-19
20181106,North Alabama,Samford,A,-17
20181106,IUPUI,Xavier,A,-13
20181106,Milwaukee,Boston College,A,-20
20181106,Southern,Alabama,A,-20
20181106,Nevada,BYU,H,16
20181106,Texas Southern,Baylor,A,3
20181106,Mississippi Valley S,Nebraska,A,-69
20181106,Navy,Old Dominion,A,-23
20181106,SIU Edwardsville,Pacific,H,-9
20181106,Alabama St.,Iowa St.,A,-26
20181106,Denver,Maine,H,13
20181106,Jackson St.,Louisiana Monroe,H,-9
20181106,Nebraska Omaha,Minnesota,A,-28
20181106,Oral Roberts,Missouri St.,A,-34
20181106,Western Illinois,Creighton,A,-11
20181106,South Dakota St.,Grand Canyon,H,5
20181106,North Dakota St.,New Mexico St.,A,-17
20181106,BYU,Nevada,A,-16
