DATE,TEAM,OPP.,VENUE,RESULT
20201125,Rhode Island,Arizona St.,N,-6
20201125,College of Charlesto,North Carolina,A,-19
20201125,High Point,Davidson,A,-9
20201125,Butler,Western Michigan,H,4
20201125,VCU,Utah St.,N,16
20201125,West Virginia,South Dakota St.,N,8
20201125,Eastern Michigan,Michigan St.,A,-16
20201125,Austin Peay,Nebraska Omaha,N,6
20201125,South Carolina St.,Appalachian St.,H,-20
20201125,Michigan,Bowling Green,H,14
20201125,George Washington,Navy,A,-7
20201125,Indiana,Tennessee Tech,H,30
20201125,Green Bay,Minnesota,A,-30
20201125,Radford,Virginia Tech,A,-15
20201125,Charleston Southern,North Carolina St.,A,-34
20201125,Oakland,Xavier,A,-52
20201125,San Diego St.,UCLA,H,15
20201125,Prairie View A&M,Little Rock,N,-5
20201125,Navy,George Washington,H,7
20201125,UNLV,Montana St.,H,-13
20201125,Maryland,Old Dominion,H,18
20201125,SMU,Sam Houston St.,H,30
20201125,Iowa,North Carolina Centr,H,30
20201125,North Carolina,College of Charlesto,H,19
20201125,Utah St.,VCU,N,-16
20201125,Villanova,Boston College,N,9
20201125,Michigan St.,Eastern Michigan,H,16
20201125,Xavier,Oakland,H,52
20201125,Jacksonville St.,Alabama,A,-24
20201125,Virginia,Towson,N,35
20201125,St. John's,Saint Peter's,H,1
20201125,Morgan St.,Mount St. Mary's,H,-7
20201125,UNC Wilmington,Western Carolina,N,-22
20201125,Ohio St.,Illinois St.,H,27
20201125,East Tennessee St.,Abilene Christian,N,-23
20201125,Western Carolina,UNC Wilmington,N,22
20201125,Texas,UT Rio Grande Valley,H,36
20201125,Florida A&M,Florida Gulf Coast,A,-9
20201125,North Carolina A&T,Illinois,A,-62
20201125,Wisconsin,Eastern Illinois,H,10
20201125,Eastern Kentucky,North Florida,N,13
20201125,Tennessee Tech,Indiana,A,-30
20201125,Eastern Illinois,Wisconsin,A,-10
20201125,South Dakota,Colorado,N,-23
20201125,South Dakota St.,West Virginia,N,-8
20201125,Oral Roberts,Missouri,A,-27
20201125,North Dakota,Miami OH,A,-14
20201125,North Dakota St.,Nevada,N,-14
20201125,Delaware St.,Wake Forest,A,-60
20201125,Illinois Chicago,Northern Illinois,A,4
20201125,SIU Edwardsville,Saint Louis,A,-37
20201125,Saint Mary's,Memphis,N,-17
20201125,Pacific,UC Riverside,H,6
20201125,Loyola Marymount,Southern Utah,H,2
20201125,Portland,Seattle,H,-12
20201125,San Francisco,UMass Lowell,N,-8
20201125,Pepperdine,UC Irvine,N,14
20201125,Quinnipiac,Fairleigh Dickinson,H,18
20201125,Texas Southern,Washington St.,A,-4
20201125,Fort Wayne,Southeastern Louisia,H,4
20201125,North Carolina Centr,Iowa,A,-30
20201125,Idaho St.,Santa Clara,A,-13
20201125,Louisville,Evansville,H,35
20201125,Illinois,North Carolina A&T,H,62
20201125,Appalachian St.,South Carolina St.,A,20
20201125,Morehead St.,Kentucky,A,-36
20201125,Georgetown,UMBC,H,8
20201125,Rutgers,Sacred Heart,H,23
20201125,Mississippi Valley S,Arkansas,A,-80
20201125,Arkansas Pine Bluff,Marquette,A,-42
20201125,North Florida,Eastern Kentucky,N,-13
20201125,Nebraska Omaha,Austin Peay,N,-6
20201125,Miami OH,North Dakota,H,14
20201125,Grambling St.,Grand Canyon,A,-16
20201125,Alcorn St.,UAB,A,-49
20201125,Connecticut,Central Connecticut,H,27
20201125,Nevada,North Dakota St.,N,14
20201125,Wake Forest,Delaware St.,H,60
20201125,Virginia Tech,Radford,H,15
20201125,Western Kentucky,Northern Iowa,N,6
20201125,Santa Clara,Idaho St.,H,13
20201125,Saint Peter's,St. John's,A,-1
20201125,Old Dominion,Maryland,A,-18
20201125,Oklahoma St.,UT Arlington,A,7
20201125,Sacred Heart,Rutgers,A,-23
20201125,Marquette,Arkansas Pine Bluff,H,42
20201125,Davidson,High Point,H,9
20201125,UMass Lowell,San Francisco,N,8
20201125,Florida Atlantic,South Alabama,A,-2
20201125,Towson,Virginia,N,-35
20201125,Ohio,Chicago St.,N,23
20201125,Liberty,Purdue,N,-13
20201125,Illinois St.,Ohio St.,A,-27
20201125,Arizona St.,Rhode Island,N,6
20201125,UC Davis,Nicholls St.,N,-8
20201125,Georgia St.,Georgia Tech,A,3
20201125,Ball St.,Northern Kentucky,A,-1
20201125,Pittsburgh,St. Francis PA,H,-10
20201125,Minnesota,Green Bay,H,30
20201125,Houston,Lamar,H,44
20201125,Purdue,Liberty,N,13
20201125,Toledo,Bradley,N,-2
20201125,Georgia Tech,Georgia St.,H,-3
20201125,UMBC,Georgetown,A,-8
20201125,Clemson,Mississippi St.,N,11
20201125,Kansas St.,Drake,H,-10
20201125,Boston College,Villanova,N,-9
20201125,Fairfield,Providence,A,-41
20201125,UC Irvine,Pepperdine,N,-14
20201125,Nebraska,McNeese St.,H,47
20201125,UC Riverside,Pacific,A,-6
20201125,Mississippi St.,Clemson,N,-11
20201125,Mount St. Mary's,Morgan St.,A,7
20201125,Montana St.,UNLV,A,13
20201125,Northern Illinois,Illinois Chicago,H,-4
20201125,Saint Louis,SIU Edwardsville,H,37
20201125,TCU,Houston Christian,H,24
20201125,Central Connecticut,Connecticut,A,-27
20201125,Kentucky,Morehead St.,H,36
20201125,North Carolina St.,Charleston Southern,H,34
20201125,Drake,Kansas St.,A,10
20201125,Bowling Green,Michigan,A,-14
20201125,Missouri,Oral Roberts,H,27
20201125,Oregon St.,California,H,8
20201125,Western Michigan,Butler,A,-4
20201125,UAB,Alcorn St.,H,49
20201125,Memphis,Saint Mary's,N,17
20201125,Abilene Christian,East Tennessee St.,N,23
20201125,Arkansas,Mississippi Valley S,H,80
20201125,Little Rock,Prairie View A&M,N,5
20201125,Southern Utah,Loyola Marymount,A,-2
20201125,Evansville,Louisville,A,-35
20201125,UCLA,San Diego St.,A,-15
20201125,Providence,Fairfield,H,41
20201125,Northern Kentucky,Ball St.,H,1
20201125,Fairleigh Dickinson,Quinnipiac,A,-18
20201125,Florida Gulf Coast,Florida A&M,H,9
