DATE,GAME,TEAM_ID,OPP_ID,VENUE,RESULT
20161117,0,1,295,65,8
20161122,1,1,38,72,-1
20161125,2,1,309,65,-8
20161130,3,1,227,65,-9
20161203,4,1,38,65,3
20161217,5,1,33,65,-2
20161219,6,1,317,65,-35
20161229,7,1,296,65,-9
20161231,8,1,191,65,-22
20170105,9,1,256,72,-5
20170107,10,1,203,72,9
20170112,11,1,191,72,-6
20170114,12,1,106,72,3
20170119,13,1,141,65,-3
20170126,14,1,335,65,-3
20170128,15,1,213,65,-12
20170201,16,1,296,72,1
20170204,17,1,180,72,7
20170209,18,1,256,65,-11
20170211,19,1,151,72,4
20170216,20,1,123,65,4
20170222,21,1,213,72,-12
20170225,22,1,180,65,3
20170301,23,1,335,72,-14
20170304,24,1,88,65,-9
20161114,0,241,99,72,18
20161120,1,241,68,72,25
20161122,2,241,204,72,13
20161125,3,241,224,78,-9
20161126,4,241,59,78,-7
20161130,5,241,139,65,-8
20161203,6,241,131,72,13
20161207,7,241,242,65,-8
20161210,8,241,263,72,-12
20161219,9,241,259,72,-7
20161222,10,241,250,72,10
20161228,11,241,334,65,-12
20161231,12,241,337,72,5
20170107,13,241,46,65,-27
20170111,14,241,29,72,9
20170114,15,241,183,72,-4
20170118,16,241,294,65,-7
20170121,17,241,293,65,-2
20170124,18,241,182,72,3
20170201,19,241,29,65,-9
20170204,20,241,334,72,-9
20170208,21,241,227,72,-7
20170211,22,241,16,65,-10
20170215,23,241,294,72,-19
20170218,24,241,183,65,-5
20170222,25,241,293,72,23
20170225,26,241,337,65,-31
20170301,27,241,182,65,-13
20170304,28,241,16,72,-28
20170308,29,241,334,78,15
20170309,30,241,46,78,-26
20161112,0,224,362,65,-8
20161117,1,224,5,72,10
20161120,2,224,168,72,47
20161122,3,224,79,72,8
20161125,4,224,241,78,9
20161126,5,224,124,78,2
20161203,6,224,50,65,-12
20161207,7,224,48,72,24
20161210,8,224,81,65,-18
20161217,9,224,122,72,11
20161221,10,224,251,78,8
20161222,11,224,279,78,16
20170103,12,224,19,72,5
20170106,13,224,354,72,7
20170110,14,224,37,65,4
20170114,15,224,126,65,4
20170117,16,224,222,72,15
20170120,17,224,63,72,7
20170124,18,224,354,65,10
20170128,19,224,201,72,1
20170131,20,224,149,65,3
20170204,21,224,222,65,-15
