DATE,GAME,TEAM_ID,OPP_ID,VENUE,RESULT
20111111,0,241,242,72,16
20111112,1,241,344,72,10
20111123,2,241,259,72,-3
20111203,3,241,55,65,-2
20111207,4,241,359,72,21
20111210,5,241,248,72,12
20111217,6,241,279,72,4
20111222,7,241,81,65,-10
20111229,8,241,346,78,-11
20111230,9,241,63,78,5
20120106,10,241,39,72,14
20120109,11,241,231,72,17
20120114,12,241,16,65,15
20120118,13,241,334,72,-11
20120121,14,241,182,65,-13
20120125,15,241,214,65,-3
20120128,16,241,293,72,-2
20120131,17,241,227,72,-39
20120204,18,241,46,65,-18
20120211,19,241,16,72,-11
20120215,20,241,334,65,5
20120218,21,241,182,72,2
20120222,22,241,214,72,-3
20120225,23,241,293,65,-10
20120229,24,241,227,65,-30
20120303,25,241,46,72,-10
20120308,26,241,227,78,-15
20111109,0,224,129,65,10
20111118,1,224,340,65,-3
20111119,2,224,58,78,-5
20111126,3,224,264,72,18
20111128,4,224,350,65,-21
20111204,5,224,128,65,-24
20111210,6,224,41,65,-3
20111215,7,224,248,72,23
20111217,8,224,68,72,22
20111219,9,224,362,72,26
20111221,10,224,143,72,27
20111229,11,224,343,72,-1
20120101,12,224,122,65,16
20120107,13,224,126,65,5
20120111,14,224,19,65,1
20120114,15,224,222,72,5
20120118,16,224,201,65,-12
20120121,17,224,103,72,9
20120124,18,224,11,65,12
20120128,19,224,37,65,10
20120201,20,224,327,72,14
20120204,21,224,63,72,30
20120208,22,224,354,65,3
20120211,23,224,149,72,24
20120215,24,224,126,72,15
20120218,25,224,156,65,-6
20120222,26,224,19,72,11
20120226,27,224,222,65,-24
20120229,28,224,201,72,-4
20120302,29,224,103,65,6
20120309,30,224,103,78,4
20120310,31,224,222,78,-1
20120313,32,224,152,65,-2
20111111,0,225,304,72,20
20111114,1,225,153,72,17
20111117,2,225,281,78,20
20111118,3,225,355,78,10
20111120,4,225,164,78,9
20111123,5,225,2,72,37
20111127,6,225,343,72,8
20111201,7,225,77,72,-2
20111207,8,225,261,65,-12
20111211,9,225,264,72,8
20111217,10,225,101,65,-13
20111221,11,225,154,72,17
20111229,12,225,99,72,17
20120103,13,225,78,65,25
20120107,14,225,267,65,15
20120111,15,225,114,72,16
20120114,16,225,129,65,-4
20120119,17,225,341,72,-10
20120121,18,225,274,65,-6
20120125,19,225,319,65,-2
20120128,20,225,246,72,6
20120204,21,225,226,72,2
20120207,22,225,9,65,18
20120211,23,225,114,65,-9
20120214,24,225,266,72,-9
20120218,25,225,230,72,12
20120223,26,225,246,65,11
20120225,27,225,129,72,17
20120229,28,225,9,72,6
20120303,29,225,226,65,-9
20120308,30,225,319,78,6
20120309,31,225,266,78,-3
20120316,32,225,50,78,-1
20111111,0,2,240,65,-9
20111123,1,2,225,65,-37
20111203,2,2,318,65,-23
20111217,3,2,286,65,-30
20111219,4,2,78,65,-11
20111221,5,2,209,65,-10
20111231,6,2,244,65,-34
20120103,7,2,97,65,-3
20120105,8,2,82,65,-5
20120107,9,2,248,72,3
20120109,10,2,130,72,-12
20120114,11,2,3,65,-3
20120121,12,2,195,65,-6
20120123,13,2,4,65,1
20120128,14,2,215,72,-12
20120130,15,2,160,72,10
20120204,16,2,248,65,-6
20120206,17,2,130,65,-14
20120211,18,2,3,72,-10
20120218,19,2,195,72,-7
20120220,20,2,4,72,10
20120225,21,2,160,65,-8
20120227,22,2,215,65,-10
20120301,23,2,97,72,20
20120303,24,2,82,72,-3
20120307,25,2,215,78,-13
20111111,0,3,122,65,-18
20111113,1,3,258,65,-25
20111117,2,3,151,72,-7
20111119,3,3,98,65,-13
20111129,4,3,265,65,-7
20111203,5,3,71,65,3
20111210,6,3,203,65,-26
20111217,7,3,177,65,-30
20111219,8,3,40,65,-25
20111222,9,3,264,65,-24
20120103,10,3,82,65,11
20120105,11,3,97,65,3
20120107,12,3,130,72,-7
20120109,13,3,248,72,6
20120114,14,3,2,72,3
20120121,15,3,4,65,-1
20120123,16,3,195,65,-12
20120128,17,3,160,72,-7
20120130,18,3,215,72,7
20120204,19,3,130,65,-12
20120206,20,3,248,65,-1
20120211,21,3,2,65,10
20120218,22,3,4,72,15
20120220,23,3,195,72,-2
20120225,24,3,215,65,-8
20120227,25,3,160,65,-3
20120301,26,3,82,72,2
20120303,27,3,97,72,3
20120308,28,3,248,78,-4
20111111,0,199,312,65,-33
20111114,1,199,22,78,9
20111115,2,199,206,65,-24
20111121,3,199,132,78,36
20111122,4,199,76,65,-20
20111125,5,199,243,72,7
20111127,6,199,67,72,19
20111205,7,199,187,65,-4
20111207,8,199,43,72,24
20111217,9,199,49,65,-3
20111223,10,199,51,72,8
20111228,11,199,281,65,-11
20111231,12,199,136,65,1
20120105,13,199,280,65,17
20120108,14,199,202,65,-13
20120111,15,199,295,72,23
20120114,16,199,278,72,1
20120116,17,199,18,65,-13
20120119,18,199,237,65,-4
20120125,19,199,200,72,6
20120201,20,199,280,72,11
20120204,21,199,202,72,-7
20120206,22,199,18,72,-3
20120209,23,199,295,65,-5
20120211,24,199,278,65,8
20120215,25,199,237,72,-3
20120218,26,199,169,72,9
20120223,27,199,200,65,11
20120303,28,199,295,78,18
20120304,29,199,202,78,-2
20120314,30,199,119,72,-10
