DATE,GAME,TEAM_ID,OPP_ID,VENUE,RESULT
20151122,0,1,313,65,-30
20151124,1,1,46,65,-8
20151127,2,1,68,78,10
20151128,3,1,153,78,-28
20151203,4,1,295,72,-11
20151205,5,1,292,65,-10
20151218,6,1,253,72,-4
20151220,7,1,214,65,-11
20151222,8,1,55,65,-17
20160102,9,1,256,65,1
20160109,10,1,141,65,-1
20160112,11,1,151,72,15
20160116,12,1,203,65,-35
20160119,13,1,123,72,8
20160123,14,1,335,65,-14
20160125,15,1,180,65,-21
20160130,16,1,106,72,9
20160202,17,1,88,72,7
20160206,18,1,191,65,-21
20160208,19,1,106,65,4
20160215,20,1,180,72,-13
20160218,21,1,88,65,-2
20160221,22,1,191,72,11
20160223,23,1,213,65,-6
20160227,24,1,296,72,3
20160303,25,1,335,72,-4
20160305,26,1,213,72,-5
20151113,0,241,192,65,-2
20151116,1,241,210,72,10
20151119,2,241,130,72,1
20151122,3,241,170,72,12
20151125,4,241,259,65,-11
20151128,5,241,139,72,2
20151202,6,241,218,72,4
20151205,7,241,263,65,2
20151208,8,241,221,65,-24
20151212,9,241,242,72,-10
20151219,10,241,250,65,7
20160102,11,241,183,72,7
20160106,12,241,334,65,-12
20160109,13,241,294,72,-23
20160112,14,241,337,65,-19
20160116,15,241,293,65,-36
20160120,16,241,46,72,-4
20160123,17,241,29,72,-1
20160127,18,241,227,65,-29
20160130,19,241,183,65,-21
20160202,20,241,334,72,8
20160206,21,241,16,72,8
20160210,22,241,294,65,-20
20160213,23,241,182,65,-9
20160216,24,241,293,72,5
20160220,25,241,227,72,4
20160224,26,241,29,65,-1
20160301,27,241,337,72,-13
20160305,28,241,46,65,-14
20160309,29,241,293,65,-6
20151114,0,224,41,78,12
20151118,1,224,246,65,8
20151122,2,224,342,65,-19
20151124,3,224,331,65,-3
20151127,4,224,38,72,24
20151202,5,224,48,72,6
20151204,6,224,122,65,10
20151212,7,224,15,72,21
20151221,8,224,255,78,14
20151223,9,224,95,78,14
20151230,10,224,188,72,10
20160102,11,224,111,72,7
20160105,12,224,201,65,4
20160108,13,224,354,72,9
20160112,14,224,37,65,-11
20160115,15,224,327,65,-14
20160119,16,224,63,72,4
20160123,17,224,126,72,29
20160126,18,224,149,72,10
20160130,19,224,11,65,9
20160202,20,224,222,65,12
20160205,21,224,37,72,5
20160209,22,224,19,65,15
20160213,23,224,149,65,-1
20160216,24,224,201,72,10
20160219,25,224,103,65,-9
20160223,26,224,126,65,-13
20160226,27,224,19,72,35
20160301,28,224,222,72,15
20160304,29,224,103,72,14
20160310,30,224,63,78,2
20160311,31,224,19,78,14
20160312,32,224,201,78,-3
20160315,33,224,221,65,-9
20151113,0,225,102,72,13
20151117,1,225,261,65,-32
20151120,2,225,275,72,12
20151126,3,225,360,78,-19
20151127,4,225,355,78,4
20151129,5,225,308,78,1
20151204,6,225,325,65,3
20151213,7,225,40,65,1
20151216,8,225,357,72,12
20151221,9,225,310,78,-4
20151229,10,225,98,72,8
20160102,11,225,142,72,19
20160107,12,225,226,65,-8
20160109,13,225,274,72,-16
20160113,14,225,319,72,23
20160116,15,225,341,65,-8
20160119,16,225,9,65,-6
20160123,17,225,114,72,-2
20160126,18,225,230,72,6
20160130,19,225,319,65,-14
20160202,20,225,129,65,2
20160206,21,225,288,72,9
20160210,22,225,211,72,1
20160213,23,225,266,65,6
20160217,24,225,114,65,7
20160220,25,225,129,72,-6
20160223,26,225,274,65,-25
20160227,27,225,9,72,8
20160302,28,225,246,72,-1
20160305,29,225,267,65,-7
20160310,30,225,226,78,8
20160311,31,225,274,78,-26
20160315,32,225,50,65,-18
20151113,0,2,240,65,1
20151119,1,2,190,72,18
20151124,2,2,98,65,4
20151128,3,2,137,65,-2
20151212,4,2,177,65,-17
20151216,5,2,353,65,-9
20151222,6,2,265,65,-21
20151229,7,2,11,65,-1
20160102,8,2,82,65,-3
20160104,9,2,97,65,-1
20160109,10,2,248,72,15
20160111,11,2,130,72,-6
20160116,12,2,3,65,5
20160123,13,2,4,65,-5
20160125,14,2,195,65,-21
20160130,15,2,160,72,14
20160201,16,2,215,72,-3
20160206,17,2,248,65,5
20160208,18,2,130,65,-2
20160213,19,2,3,72,-6
20160220,20,2,4,72,-4
20160222,21,2,195,72,12
20160227,22,2,215,65,-23
20160229,23,2,160,65,-20
20160303,24,2,82,72,-7
20160305,25,2,97,72,3
20160308,26,2,248,78,8
20160309,27,2,215,78,-8
20151114,0,3,345,65,3
20151116,1,3,244,65,-2
20151119,2,3,124,65,-21
20151127,3,3,228,65,-37
20151128,4,3,39,78,2
20151201,5,3,265,65,-32
20151213,6,3,98,65,3
20151216,7,3,65,65,-17
20151220,8,3,42,65,-3
20151222,9,3,357,65,-8
20160102,10,3,97,65,-7
20160104,11,3,82,65,-3
20160109,12,3,130,72,1
20160111,13,3,248,72,-4
20160116,14,3,2,72,-5
20160123,15,3,195,65,-4
20160125,16,3,4,65,-5
20160130,17,3,215,72,-3
20160201,18,3,160,72,6
20160206,19,3,130,65,11
20160208,20,3,248,65,-5
20160213,21,3,2,65,6
20160220,22,3,195,72,9
20160222,23,3,4,72,14
20160227,24,3,160,65,5
20160229,25,3,215,65,-10
20160303,26,3,97,72,17
20160305,27,3,82,72,1
20160310,28,3,195,78,-20
20151113,0,199,274,65,-13
20151116,1,199,18,65,-5
20151119,2,199,43,72,21
20151124,3,199,322,65,-2
20151127,4,199,138,72,1
20151129,5,199,361,72,34
20151201,6,199,167,65,4
20151205,7,199,45,65,4
20151209,8,199,120,65,22
20151212,9,199,187,65,-8
20151219,10,199,174,72,7
20151223,11,199,140,72,9
20160102,12,199,49,65,5
20160106,13,199,280,72,14
20160109,14,199,237,65,12
20160112,15,199,295,72,5
20160115,16,199,278,65,-2
20160118,17,199,200,72,21
20160122,18,199,202,65,-6
20160127,19,199,283,72,12
20160203,20,199,280,65,6
20160206,21,199,237,72,4
20160208,22,199,200,65,13
20160211,23,199,295,65,-1
20160214,24,199,278,72,44
20160217,25,199,202,72,12
20160224,26,199,283,65,25
20160316,27,199,222,65,-4
20151119,0,4,83,65,-33
20151122,1,4,234,65,-22
20151124,2,4,313,65,-32
20151127,3,4,153,78,-33
20151128,4,4,68,78,-2
20151130,5,4,93,65,-42
20151205,6,4,124,65,-25
20151219,7,4,209,65,-5
20151221,8,4,229,65,-23
20160102,9,4,160,65,3
20160104,10,4,215,65,-16
20160109,11,4,97,72,-9
20160111,12,4,82,72,16
20160116,13,4,130,65,6
20160118,14,4,248,65,8
20160123,15,4,2,72,5
20160125,16,4,3,72,5
20160130,17,4,195,65,-11
20160206,18,4,97,65,8
20160208,19,4,82,65,3
20160213,20,4,130,72,1
20160215,21,4,248,72,19
20160220,22,4,2,65,4
20160222,23,4,3,65,-14
20160227,24,4,195,72,14
20160303,25,4,160,72,17
20160305,26,4,215,72,-10
20160309,27,4,130,78,-3
20151113,0,5,314,65,-23
20151117,1,5,84,72,-13
20151121,2,5,174,65,-20
20151125,3,5,343,65,-28
20151128,4,5,295,65,18
20151201,5,5,136,65,-25
20151204,6,5,362,65,4
20151206,7,5,346,65,-7
20151217,8,5,202,72,-18
20151220,9,5,279,72,-15
20151222,10,5,114,65,-28
20151230,11,5,118,65,-8
20160103,12,5,43,72,-19
20160106,13,5,24,65,-18
20160109,14,5,108,72,-15
20160113,15,5,18,72,-11
20160117,16,5,242,65,-20
20160120,17,5,105,65,8
20160127,18,5,243,65,5
20160130,19,5,43,65,5
20160201,20,5,45,72,13
20160203,21,5,24,72,14
20160206,22,5,108,65,-23
20160210,23,5,18,65,-20
20160213,24,5,242,72,-6
20160217,25,5,105,72,1
20160221,26,5,45,65,1
20160224,27,5,243,72,7
20160227,28,5,118,72,1
20160303,29,5,18,65,5
20160306,30,5,108,65,-16
20151114,0,6,99,72,8
20151117,1,6,74,72,-9
20151120,2,6,84,65,-21
20151122,3,6,240,65,-28
20151126,4,6,109,78,11
20151127,5,6,124,78,-1
20151129,6,6,203,78,-10
20151206,7,6,87,78,-6
20151215,8,6,233,65,-12
20151219,9,6,300,72,-16
20151221,10,6,299,65,-24
20151231,11,6,276,65,-16
20160102,12,6,275,65,-21
20160107,13,6,232,72,-4
20160109,14,6,216,72,20
20160114,15,6,247,65,-26
20160116,16,6,8,65,14
20160121,17,6,80,72,9
20160125,18,6,79,72,-1
20160128,19,6,239,65,4
20160130,20,6,318,65,-13
20160204,21,6,275,72,-11
20160206,22,6,276,72,-1
20160211,23,6,216,65,-1
20160213,24,6,232,65,-31
20160218,25,6,318,72,-4
20160220,26,6,239,72,4
20160225,27,6,79,65,-25
20160227,28,6,80,65,-13
20160303,29,6,247,72,6
20160305,30,6,8,72,7
20151113,0,245,336,72,18
20151116,1,245,20,72,30
