DATE,GAME,TEAM_ID,OPP_ID,VENUE,RESULT
20121110,0,241,242,78,11
20121111,1,241,218,65,7
20121121,2,241,133,72,14
20121125,3,241,259,65,-15
20121128,4,241,97,72,29
20121202,5,241,355,72,-3
20121208,6,241,248,72,16
20121222,7,241,253,65,8
20121229,8,241,266,78,-17
20130102,9,241,315,65,-23
20130109,10,241,294,72,13
20130112,11,241,293,65,-5
20130116,12,241,46,65,-39
20130119,13,241,16,72,11
20130123,14,241,296,72,42
20130126,15,241,334,65,9
20130130,16,241,29,72,12
20130202,17,241,182,72,3
20130206,18,241,227,65,-23
20130209,19,241,294,65,-5
20130213,20,241,293,72,15
20130216,21,241,46,72,-3
20130220,22,241,16,65,-12
20130226,23,241,334,72,6
20130302,24,241,29,65,-15
20130306,25,241,182,65,-7
20130309,26,241,227,72,1
20130313,27,241,293,78,-16
20130321,28,241,268,65,4
20130323,29,241,349,65,-21
20121109,0,224,42,65,-4
20121115,1,224,154,78,-4
20121116,2,224,298,78,19
20121118,3,224,223,78,25
20121202,4,224,128,72,5
20121209,5,224,50,65,-16
20121215,6,224,264,65,-7
20121218,7,224,248,72,30
20121223,8,224,41,72,30
20121227,9,224,215,72,15
20121230,10,224,162,72,4
20130102,11,224,48,72,28
20130109,12,224,354,72,22
20130112,13,224,149,65,15
20130116,14,224,11,72,7
20130119,15,224,103,65,4
20130123,16,224,327,65,15
20130126,17,224,201,72,4
20130130,18,224,19,65,13
20130202,19,224,222,72,14
20130205,20,224,37,72,12
20130209,21,224,126,65,4
20130213,22,224,63,65,8
20130216,23,224,19,72,17
20130222,24,224,146,72,15
20130227,25,224,222,65,7
20130302,26,224,201,65,-14
20130305,27,224,126,72,14
20130308,28,224,103,72,-4
20130315,29,224,103,78,3
20130316,30,224,222,78,19
20130321,31,224,343,78,-46
20121109,0,225,189,72,3
20121115,1,225,157,78,3
20121116,2,225,342,78,22
20121123,3,225,38,72,13
20121127,4,225,106,72,28
20121201,5,225,258,65,-2
20121205,6,225,261,72,-5
20121215,7,225,343,65,-19
20121219,8,225,217,65,4
20121222,9,225,124,72,-7
20121230,10,225,240,72,-3
20130105,11,225,153,72,20
20130108,12,225,288,65,-16
20130112,13,225,230,72,3
20130116,14,225,129,65,32
20130119,15,225,211,72,1
