DATE,GAME,TEAM_ID,OPP_ID,VENUE,RESULT
20201125,0,1,60,78,23
20201127,1,1,10,78,8
20201128,2,1,291,78,12
20201205,3,1,207,72,21
20201209,4,1,217,65,-7
20201222,5,1,246,65,-13
20210102,6,1,106,72,18
20210106,7,1,88,65,3
20210116,8,1,191,72,34
20210120,9,1,180,65,-7
20210123,10,1,256,72,35
20210127,11,1,203,72,20
20210130,12,1,335,65,8
20210206,13,1,106,65,15
20210208,14,1,213,65,13
20210210,15,1,88,72,29
20210213,16,1,213,72,28
20210224,17,1,180,72,14
20210227,18,1,256,65,-2
20210303,19,1,203,65,2
20210306,20,1,335,72,25
20210312,21,1,106,78,22
20210313,22,1,141,78,34
20210320,23,1,233,78,1
20210322,24,1,252,78,-20
20201128,0,241,32,78,5
20201129,1,241,185,78,-18
20201205,2,241,106,72,15
20201213,3,241,55,65,-28
20201218,4,241,294,65,-17
20201220,5,241,294,65,2
20201231,6,241,337,72,-35
20210102,7,241,337,72,-19
20210106,8,241,16,65,-19
20210108,9,241,16,65,-11
20210116,10,241,334,72,3
20210118,11,241,334,72,-19
20210122,12,241,182,72,-37
20210124,13,241,182,72,-32
20210128,14,241,183,78,-1
20210130,15,241,183,78,-13
20210206,16,241,293,65,-10
20210208,17,241,293,65,-5
20210211,18,241,29,72,-6
20210213,19,241,29,72,-3
20210222,20,241,227,72,-8
20210224,21,241,227,72,7
20210227,22,241,46,65,-23
20210301,23,241,46,65,-30
20210310,24,241,293,65,-28
20201215,0,224,173,78,-7
20201222,1,224,222,72,20
20210101,2,224,103,72,4
20210109,3,224,63,65,-12
20210112,4,224,149,65,-2
20210116,5,224,327,72,1
20210119,6,224,19,65,12
20210121,7,224,37,72,14
20210123,8,224,354,65,11
20210126,9,224,63,72,21
20210130,10,224,11,72,32
20210202,11,224,327,65,-15
20210205,12,224,103,65,11
20210212,13,224,126,65,7
20210216,14,224,149,72,5
20210219,15,224,11,65,9
20210223,16,224,222,65,-17
20210226,17,224,19,72,-12
20210302,18,224,201,65,-2
20210311,19,224,19,78,7
20210312,20,224,201,78,-7
20201125,0,225,98,72,24
20201130,1,225,197,78,-18
20201201,2,225,293,78,12
20201202,3,225,163,78,17
20201212,4,225,40,78,-8
20201215,5,225,74,72,3
20201219,6,225,353,72,-2
20201222,7,225,60,72,16
20201229,8,225,226,72,18
20210102,9,225,230,65,8
20210105,10,225,266,72,15
20210109,11,225,9,65,4
20210112,12,225,274,65,20
20210116,13,225,246,72,31
20210119,14,225,114,65,30
20210123,15,225,129,72,8
20210126,16,225,274,72,11
20210130,17,225,309,65,-5
20210203,18,225,114,72,18
20210206,19,225,288,65,-3
20210209,20,225,319,65,3
20210213,21,225,267,72,33
20210220,22,225,341,72,4
20210224,23,225,246,65,-15
20210227,24,225,129,65,5
20210302,25,225,9,72,12
20210306,26,225,267,65,10
20210312,27,225,129,78,37
20210313,28,225,230,78,5
20210314,29,225,114,78,1
20210320,30,225,95,78,13
20210322,31,225,281,78,19
20210328,32,225,252,78,-10
20201129,0,2,181,65,2
20201219,1,2,318,72,3
20210116,2,2,3,72,7
20210123,3,2,195,72,10
20210130,4,2,160,65,-22
20210201,5,2,215,65,-17
20210206,6,2,130,72,35
20210208,7,2,248,72,1
20210213,8,2,3,65,-14
20210222,9,2,4,65,-13
20210224,10,2,195,65,-16
20210227,11,2,160,72,-1
20210301,12,2,215,72,-10
20210304,13,2,97,65,-15
20210306,14,2,82,65,-8
20210102,0,3,82,72,-17
20210104,1,3,97,72,-16
20210109,2,3,248,65,-9
20210112,3,3,130,65,13
20210116,4,3,2,65,-7
20210123,5,3,4,72,-5
20210125,6,3,195,72,2
20210130,7,3,215,65,-7
20210201,8,3,160,65,-24
20210206,9,3,248,72,6
20210208,10,3,130,72,-3
20210213,11,3,2,72,14
20210222,12,3,195,65,-9
20210224,13,3,4,65,-9
20210227,14,3,215,72,-10
20210301,15,3,160,72,-3
20210304,16,3,82,65,-23
20210306,17,3,97,65,-25
20201219,0,199,280,72,-1
20201220,1,199,280,72,-5
20201222,2,199,140,72,-5
20210102,3,199,237,65,1
20210103,4,199,237,65,-8
20210109,5,199,176,65,-3
20210116,6,199,138,72,8
20210117,7,199,138,72,12
20210123,8,199,295,65,-7
20210124,9,199,295,65,19
20210212,10,199,283,72,-8
20210213,11,199,283,72,12
20210220,12,199,202,72,-16
20210221,13,199,202,72,8
20210227,14,199,138,78,10
20201125,0,4,244,65,-49
20201220,1,4,269,65,-33
20201222,2,4,109,65,-43
20201227,3,4,341,65,-28
20201230,4,4,12,65,-29
20210112,5,4,82,65,-5
20210116,6,4,130,72,12
20210118,7,4,248,72,34
20210123,8,4,3,65,5
20210130,9,4,195,72,-17
