DATE,GAME,TEAM_ID,OPP_ID,VENUE,RESULT
20141119,0,1,236,65,-26
20141122,1,1,58,72,-21
20141129,2,1,253,65,-20
20141204,3,1,33,72,11
20141206,4,1,269,65,-12
20141217,5,1,117,65,-39
20141220,6,1,16,65,-44
20141222,7,1,188,78,6
20141223,8,1,248,78,8
20141228,9,1,83,65,-2
20150104,10,1,256,72,17
20150110,11,1,141,72,17
20150113,12,1,151,65,14
20150117,13,1,203,72,-18
20150120,14,1,123,65,-7
20150124,15,1,335,72,-16
20150126,16,1,180,72,-17
20150131,17,1,106,65,-10
20150202,18,1,88,65,-16
20150207,19,1,191,72,-13
20150209,20,1,106,72,-19
20150216,21,1,180,65,-22
20150221,22,1,191,65,-1
20150224,23,1,213,72,-23
20150228,24,1,296,65,-20
20150303,25,1,88,72,12
20150305,26,1,335,65,-12
20150307,27,1,213,65,-31
20141114,0,241,242,65,-6
20141115,1,241,218,78,13
20141125,2,241,259,65,-15
20141130,3,241,217,65,-1
20141203,4,241,82,72,25
20141208,5,241,291,72,16
20141213,6,241,248,72,33
20141220,7,241,250,72,-6
20141222,8,241,98,72,1
20141231,9,241,182,65,-4
20150103,10,241,294,65,-18
20150107,11,241,183,72,22
20150110,12,241,46,72,-5
20150114,13,241,227,65,-12
20150117,14,241,337,65,-12
20150120,15,241,182,72,-32
20150124,16,241,16,72,-9
20150128,17,241,183,65,14
20150131,18,241,293,65,-11
20150204,19,241,227,72,4
20150207,20,241,334,72,23
20150211,21,241,16,65,-25
20150214,22,241,293,72,1
20150221,23,241,46,65,-13
20150225,24,241,294,72,5
20150228,25,241,337,72,-14
20150304,26,241,29,65,-2
20150311,27,241,227,78,7
20150312,28,241,16,78,-12
20141114,0,224,280,72,17
20141120,1,224,323,78,20
20141121,2,224,285,78,-28
20141123,3,224,319,78,5
20141125,4,224,223,65,-6
20141130,5,224,23,72,6
20141202,6,224,248,72,21
20141204,7,224,352,72,24
20141213,8,224,128,72,-1
20141216,9,224,146,65,-9
20141230,10,224,122,72,7
20150103,11,224,48,72,17
20150106,12,224,354,72,20
20150109,13,224,327,65,-17
20150114,14,224,19,72,17
20150117,15,224,37,72,6
20150121,16,224,149,65,-3
20150124,17,224,354,65,2
20150127,18,224,11,72,12
20150131,19,224,19,65,1
20150204,20,224,222,65,-1
20150207,21,224,201,72,3
20150210,22,224,103,72,9
20150214,23,224,63,65,-3
20150218,24,224,327,72,-2
20150221,25,224,126,72,-5
20150224,26,224,201,65,-5
20150227,27,224,222,72,12
20150303,28,224,126,65,-7
20150306,29,224,103,65,-2
20150309,30,224,149,72,24
20150311,31,224,354,78,13
20150312,32,224,103,78,2
20150313,33,224,201,78,-9
20141114,0,225,238,72,28
20141117,1,225,351,72,6
20141120,2,225,325,72,14
20141124,3,225,96,78,-10
20141125,4,225,7,78,5
20141202,5,225,322,72,11
20141206,6,225,360,65,-13
20141213,7,225,210,72,12
20141216,8,225,355,65,-1
20141221,9,225,6,72,1
20141228,10,225,252,72,6
20150102,11,225,304,72,15
20150106,12,225,211,72,21
20150110,13,225,230,65,18
20150113,14,225,319,65,-2
20150117,15,225,274,72,-22
20150122,16,225,246,65,-2
20150124,17,225,9,72,2
20150127,18,225,266,72,-2
20150131,19,225,274,65,-15
20150204,20,225,288,72,13
20150207,21,225,114,65,-11
20150210,22,225,129,65,4
20150214,23,225,341,72,-8
20150217,24,225,9,65,11
20150221,25,225,267,72,-1
20150224,26,225,319,72,8
