DATE,GAME,TEAM_ID,OPP_ID,VENUE,RESULT
20171113,0,1,8,65,-14
20171120,1,1,111,72,-8
20171124,2,1,34,65,5
20171125,3,1,320,78,-10
20171126,4,1,19,78,5
20171206,5,1,241,65,4
20171209,6,1,216,72,4
20171217,7,1,111,65,-2
20171222,8,1,217,65,-27
20171228,9,1,296,65,-3
20171230,10,1,180,72,3
20180103,11,1,123,72,5
20180106,12,1,191,72,-2
20180110,13,1,88,65,8
20180113,14,1,151,65,11
20180117,15,1,203,72,-10
20180120,16,1,256,65,17
20180124,17,1,213,65,-14
20180131,18,1,106,72,5
20180203,19,1,180,65,-7
20180207,20,1,141,72,-4
20180210,21,1,335,72,11
20180217,22,1,191,65,-14
20180222,23,1,213,72,-9
20180224,24,1,256,72,-2
20180228,25,1,203,65,-20
20180303,26,1,335,65,10
20180312,27,1,55,65,-7
20171112,0,241,216,72,8
20171114,1,241,35,72,14
20171120,2,241,248,72,10
20171121,3,241,336,72,-12
20171126,4,241,259,65,-12
20171129,5,241,92,65,-10
20171202,6,241,263,65,2
20171206,7,241,1,72,-4
20171208,8,241,253,65,-19
20171217,9,241,242,78,-25
20171227,10,241,227,65,-29
20171230,11,241,29,65,-12
20180106,12,241,294,72,-11
20180110,13,241,293,72,-5
20180113,14,241,183,65,7
20180117,15,241,46,65,5
20180124,16,241,337,65,-22
20180127,17,241,16,72,-6
20180203,18,241,182,65,-31
20180206,19,241,46,72,5
20180210,20,241,227,72,8
20180214,21,241,293,65,-8
20180217,22,241,16,65,-24
20180221,23,241,182,72,-11
20180224,24,241,337,72,10
20180226,25,241,29,72,-6
20180228,26,241,334,65,-12
20180303,27,241,183,72,22
20180307,28,241,293,65,-7
20171111,0,224,41,72,10
20171118,1,224,229,72,17
20171125,2,224,261,65,-13
20171128,3,224,228,72,5
20171202,4,224,122,65,-22
20171206,5,224,165,72,4
20171209,6,224,6,72,5
20171216,7,224,130,72,18
20171222,8,224,323,78,-31
20171223,9,224,162,78,-2
20171225,10,224,52,78,-13
20180102,11,224,354,65,-12
20180105,12,224,327,65,-2
20180109,13,224,201,72,-22
20180113,14,224,19,72,2
20180116,15,224,63,65,-14
20180120,16,224,149,72,15
20180123,17,224,222,72,3
20180127,18,224,11,65,-5
20180130,19,224,126,65,-15
20180203,20,224,327,72,-21
20180206,21,224,222,65,-24
20180210,22,224,37,72,6
20180213,23,224,11,72,-13
20180217,24,224,103,65,-10
20180220,25,224,19,65,2
20180224,26,224,126,72,-2
20180227,27,224,201,65,-12
20180302,28,224,103,72,2
20180305,29,224,354,65,1
20180308,30,224,63,78,-9
20171110,0,225,284,78,12
20171114,1,225,111,72,22
20171117,2,225,2,72,37
20171121,3,225,232,72,1
20171124,4,225,21,78,12
20171125,5,225,287,78,-5
20171129,6,225,115,72,3
20171203,7,225,257,72,-3
20171206,8,225,314,72,4
20171209,9,225,245,65,-6
20171219,10,225,124,78,1
20171222,11,225,233,72,-16
20171230,12,225,211,72,22
20180102,13,225,341,65,-1
20180106,14,225,267,65,-19
20180109,15,225,319,72,14
20180113,16,225,114,65,8
20180117,17,225,9,72,5
20180120,18,225,129,72,6
20180123,19,225,226,65,-12
20180127,20,225,309,72,7
20180131,21,225,288,72,-9
20180203,22,225,266,65,18
20180206,23,225,129,65,-4
20180210,24,225,230,72,28
20180213,25,225,114,72,15
20180217,26,225,274,65,-10
20180221,27,225,9,65,-19
20180224,28,225,246,72,-3
20180227,29,225,266,72,-21
20180303,30,225,211,65,-2
20180308,31,225,211,78,1
20180309,32,225,9,78,18
20180310,33,225,274,78,-23
20180315,34,225,345,78,3
20180317,35,225,342,78,-23
20171111,0,2,222,65,-8
20171113,1,2,181,65,-19
20171117,2,2,225,65,-37
20171121,3,2,287,65,-43
20171124,4,2,140,65,-22
20171125,5,2,351,78,-10
20171129,6,2,80,72,-10
20171202,7,2,10,65,-20
20171211,8,2,53,65,-24
20171213,9,2,325,72,-15
20171216,10,2,244,65,-32
20171221,11,2,286,65,-50
20171223,12,2,77,65,-40
20180101,13,2,82,65,7
20180103,14,2,97,65,-3
20180106,15,2,248,72,-7
20180108,16,2,130,72,10
20180113,17,2,3,65,-3
